note,note_line,ref,status,candidates,source,ranges,span
models/ROMS/source-analysis/roms_4dvar.md,90,i4dvar.F:723-735,RESOLVED,1,ROMS/Drivers/i4dvar.F,723-735,13
models/ROMS/source-analysis/roms_4dvar.md,99,i4dvar.F:1026-1043,RESOLVED,1,ROMS/Drivers/i4dvar.F,1026-1043,18
models/ROMS/source-analysis/roms_4dvar.md,113,i4dvar.F:1030-1043,RESOLVED,1,ROMS/Drivers/i4dvar.F,1030-1043,14
models/ROMS/source-analysis/roms_4dvar.md,114,"i4dvar.F:862-867, 993-996",RESOLVED,1,ROMS/Drivers/i4dvar.F,862-867;993-996,10
models/ROMS/source-analysis/roms_4dvar.md,114,"rbl4dvar.F:790-793, 805-809",RESOLVED,1,ROMS/Drivers/rbl4dvar.F,790-793;805-809,9
models/ROMS/source-analysis/roms_4dvar.md,115,i4dvar.F:1137-1138,RESOLVED,1,ROMS/Drivers/i4dvar.F,1137-1138,2
models/ROMS/source-analysis/roms_4dvar.md,115,r4dvar.F:367-373,RESOLVED,1,ROMS/Drivers/r4dvar.F,367-373,7
models/ROMS/source-analysis/roms_4dvar_drivers.md,56,i4dvar.F:160-166,RESOLVED,1,ROMS/Drivers/i4dvar.F,160-166,7
models/ROMS/source-analysis/roms_4dvar_drivers.md,61,i4dvar.F:781,RESOLVED,1,ROMS/Drivers/i4dvar.F,781-781,1
models/ROMS/source-analysis/roms_4dvar_drivers.md,70,rbl4dvar.F:190-199,RESOLVED,1,ROMS/Drivers/rbl4dvar.F,190-199,10
models/ROMS/source-analysis/roms_4dvar_drivers.md,73,r4dvar.F:138-145,RESOLVED,1,ROMS/Drivers/r4dvar.F,138-145,8
models/ROMS/source-analysis/roms_4dvar_drivers.md,182,i4dvar.F:781,RESOLVED,1,ROMS/Drivers/i4dvar.F,781-781,1
models/ROMS/source-analysis/roms_analytical_functionals.md,37,ana_initial.h:31,AMBIGUOUS_SAME_MODEL,2,ROMS/Functionals/ana_initial.h,31-31,1
models/ROMS/source-analysis/roms_analytical_functionals.md,38,ana_initial.h:54,AMBIGUOUS_SAME_MODEL,2,ROMS/Functionals/ana_initial.h,54-54,1
models/ROMS/source-analysis/roms_analytical_functionals.md,58,ana_initial.h:66,AMBIGUOUS_SAME_MODEL,2,ROMS/Functionals/ana_initial.h,66-66,1
models/ROMS/source-analysis/roms_atmospheric_forcing.md,25,Modules/mod_ncparam.F:168,RESOLVED,1,ROMS/Modules/mod_ncparam.F,168-168,1
models/ROMS/source-analysis/roms_atmospheric_forcing.md,26,Utility/def_his.F:5109-5352,RESOLVED,1,ROMS/Utility/def_his.F,5109-5352,244
models/ROMS/source-analysis/roms_atmospheric_forcing.md,134,mod_ncparam.F:168,RESOLVED,1,ROMS/Modules/mod_ncparam.F,168-168,1
models/ROMS/source-analysis/roms_barotropic_2d.md,24,ROMS/Utility/checkdefs.F:3596,RESOLVED,1,ROMS/Utility/checkdefs.F,3596-3596,1
models/ROMS/source-analysis/roms_barotropic_2d.md,70,checkdefs.F:3596,RESOLVED,1,ROMS/Utility/checkdefs.F,3596-3596,1
models/ROMS/source-analysis/roms_global_state_modules.md,27,mod_ocean.F:363,RESOLVED,1,ROMS/Modules/mod_ocean.F,363-363,1
models/ROMS/source-analysis/roms_global_state_modules.md,30,mod_ocean.F:1566-1570,RESOLVED,1,ROMS/Modules/mod_ocean.F,1566-1570,5
models/ROMS/source-analysis/roms_global_state_modules.md,32,mod_arrays.F:123,RESOLVED,1,ROMS/Modules/mod_arrays.F,123-123,1
models/ROMS/source-analysis/roms_global_state_modules.md,53,mod_ncparam.F:586,RESOLVED,1,ROMS/Modules/mod_ncparam.F,586-586,1
models/ROMS/source-analysis/roms_global_state_modules.md,65,mod_ocean.F:459,RESOLVED,1,ROMS/Modules/mod_ocean.F,459-459,1
models/ROMS/source-analysis/roms_global_state_modules.md,69,mod_ocean.F:363,RESOLVED,1,ROMS/Modules/mod_ocean.F,363-363,1
models/ROMS/source-analysis/roms_global_state_modules.md,84,mod_ocean.F:458,RESOLVED,1,ROMS/Modules/mod_ocean.F,458-458,1
models/ROMS/source-analysis/roms_global_state_modules.md,98,mod_ocean.F:1562,RESOLVED,1,ROMS/Modules/mod_ocean.F,1562-1562,1
models/ROMS/source-analysis/roms_global_state_modules.md,153,mod_scalars.F:4457,RESOLVED,1,ROMS/Modules/mod_scalars.F,4457-4457,1
models/ROMS/source-analysis/roms_global_state_modules.md,177,mod_iounits.F:167-189,RESOLVED,1,ROMS/Modules/mod_iounits.F,167-189,23
models/ROMS/source-analysis/roms_global_state_modules.md,181,mod_arrays.F:123,RESOLVED,1,ROMS/Modules/mod_arrays.F,123-123,1
models/ROMS/source-analysis/roms_global_state_modules.md,181,mod_arrays.F:111,RESOLVED,1,ROMS/Modules/mod_arrays.F,111-111,1
models/ROMS/source-analysis/roms_global_state_modules.md,187,mod_arrays.F:123,RESOLVED,1,ROMS/Modules/mod_arrays.F,123-123,1
models/ROMS/source-analysis/roms_grid_metrics.md,19,checkdefs.F:2832,RESOLVED,1,ROMS/Utility/checkdefs.F,2832-2832,1
models/ROMS/source-analysis/roms_grid_metrics.md,35,checkdefs.F:2832,RESOLVED,1,ROMS/Utility/checkdefs.F,2832-2832,1
models/ROMS/source-analysis/roms_include_cppdefs.md,40,cppdefs.h:751-752,RESOLVED,1,ROMS/Include/cppdefs.h,751-752,2
models/ROMS/source-analysis/roms_include_cppdefs.md,45,cppdefs.h:761,RESOLVED,1,ROMS/Include/cppdefs.h,761-761,1
models/ROMS/source-analysis/roms_include_cppdefs.md,48,cppdefs.h:751,RESOLVED,1,ROMS/Include/cppdefs.h,751-751,1
models/ROMS/source-analysis/roms_include_cppdefs.md,48,cppdefs.h:752,RESOLVED,1,ROMS/Include/cppdefs.h,752-752,1
models/ROMS/source-analysis/roms_include_cppdefs.md,48,cppdefs.h:755,RESOLVED,1,ROMS/Include/cppdefs.h,755-755,1
models/ROMS/source-analysis/roms_include_cppdefs.md,48,cppdefs.h:761,RESOLVED,1,ROMS/Include/cppdefs.h,761-761,1
models/ROMS/source-analysis/roms_include_cppdefs.md,50,cppdefs.h:742,RESOLVED,1,ROMS/Include/cppdefs.h,742-742,1
models/ROMS/source-analysis/roms_include_cppdefs.md,51,cppdefs.h:737,RESOLVED,1,ROMS/Include/cppdefs.h,737-737,1
models/ROMS/source-analysis/roms_include_cppdefs.md,53,cppdefs.h:734,RESOLVED,1,ROMS/Include/cppdefs.h,734-734,1
models/ROMS/source-analysis/roms_include_cppdefs.md,56,cppdefs.h:680,RESOLVED,1,ROMS/Include/cppdefs.h,680-680,1
models/ROMS/source-analysis/roms_include_cppdefs.md,56,cppdefs.h:680,RESOLVED,1,ROMS/Include/cppdefs.h,680-680,1
models/ROMS/source-analysis/roms_include_cppdefs.md,56,cppdefs.h:682,RESOLVED,1,ROMS/Include/cppdefs.h,682-682,1
models/ROMS/source-analysis/roms_include_cppdefs.md,56,cppdefs.h:683,RESOLVED,1,ROMS/Include/cppdefs.h,683-683,1
models/ROMS/source-analysis/roms_include_cppdefs.md,56,cppdefs.h:691,RESOLVED,1,ROMS/Include/cppdefs.h,691-691,1
models/ROMS/source-analysis/roms_include_cppdefs.md,56,cppdefs.h:711,RESOLVED,1,ROMS/Include/cppdefs.h,711-711,1
models/ROMS/source-analysis/roms_include_cppdefs.md,56,cppdefs.h:712,RESOLVED,1,ROMS/Include/cppdefs.h,712-712,1
models/ROMS/source-analysis/roms_include_cppdefs.md,56,cppdefs.h:713,RESOLVED,1,ROMS/Include/cppdefs.h,713-713,1
models/ROMS/source-analysis/roms_include_cppdefs.md,123,globaldefs.h:801-811,RESOLVED,1,ROMS/Include/globaldefs.h,801-811,11
models/ROMS/source-analysis/roms_include_cppdefs.md,124,globaldefs.h:783-794,RESOLVED,1,ROMS/Include/globaldefs.h,783-794,12
models/ROMS/source-analysis/roms_include_cppdefs.md,125,globaldefs.h:1225-1237,RESOLVED,1,ROMS/Include/globaldefs.h,1225-1237,13
models/ROMS/source-analysis/roms_include_cppdefs.md,126,globaldefs.h:817-820,RESOLVED,1,ROMS/Include/globaldefs.h,817-820,4
models/ROMS/source-analysis/roms_include_cppdefs.md,131,globaldefs.h:765-772,RESOLVED,1,ROMS/Include/globaldefs.h,765-772,8
models/ROMS/source-analysis/roms_include_cppdefs.md,131,globaldefs.h:774-777,RESOLVED,1,ROMS/Include/globaldefs.h,774-777,4
models/ROMS/source-analysis/roms_include_cppdefs.md,132,globaldefs.h:1205-1219,RESOLVED,1,ROMS/Include/globaldefs.h,1205-1219,15
models/ROMS/source-analysis/roms_include_cppdefs.md,133,globaldefs.h:1054-1056,RESOLVED,1,ROMS/Include/globaldefs.h,1054-1056,3
models/ROMS/source-analysis/roms_include_cppdefs.md,136,globaldefs.h:994-1048,RESOLVED,1,ROMS/Include/globaldefs.h,994-1048,55
models/ROMS/source-analysis/roms_include_cppdefs.md,136,globaldefs.h:995-1002,RESOLVED,1,ROMS/Include/globaldefs.h,995-1002,8
models/ROMS/source-analysis/roms_include_cppdefs.md,136,globaldefs.h:1011-1042,RESOLVED,1,ROMS/Include/globaldefs.h,1011-1042,32
models/ROMS/source-analysis/roms_include_cppdefs.md,198,cppdefs.h:752,RESOLVED,1,ROMS/Include/cppdefs.h,752-752,1
models/ROMS/source-analysis/roms_include_cppdefs.md,199,cppdefs.h:761,RESOLVED,1,ROMS/Include/cppdefs.h,761-761,1
models/ROMS/source-analysis/roms_io_netcdf.md,62,mod_netcdf.F:115-126,RESOLVED,1,ROMS/Modules/mod_netcdf.F,115-126,12
models/ROMS/source-analysis/roms_io_netcdf.md,66,mod_netcdf.F:187-191,RESOLVED,1,ROMS/Modules/mod_netcdf.F,187-191,5
models/ROMS/source-analysis/roms_io_netcdf.md,71,mod_netcdf.F:209-216,RESOLVED,1,ROMS/Modules/mod_netcdf.F,209-216,8
models/ROMS/source-analysis/roms_io_netcdf.md,75,mod_netcdf.F:9083-9216,RESOLVED,1,ROMS/Modules/mod_netcdf.F,9083-9216,134
models/ROMS/source-analysis/roms_io_netcdf.md,98,def_var.F:159-161,RESOLVED,1,ROMS/Utility/def_var.F,159-161,3
models/ROMS/source-analysis/roms_io_netcdf.md,100,def_var.F:175-189,RESOLVED,1,ROMS/Utility/def_var.F,175-189,15
models/ROMS/source-analysis/roms_io_netcdf.md,101,def_var.F:199-346,RESOLVED,1,ROMS/Utility/def_var.F,199-346,148
models/ROMS/source-analysis/roms_io_netcdf.md,103,def_var.F:75-76,RESOLVED,1,ROMS/Utility/def_var.F,75-76,2
models/ROMS/source-analysis/roms_io_netcdf.md,111,def_his.F:174-186,RESOLVED,1,ROMS/Utility/def_his.F,174-186,13
models/ROMS/source-analysis/roms_io_netcdf.md,113,def_his.F:205-235,RESOLVED,1,ROMS/Utility/def_his.F,205-235,31
models/ROMS/source-analysis/roms_io_netcdf.md,114,def_his.F:558,RESOLVED,1,ROMS/Utility/def_his.F,558-558,1
models/ROMS/source-analysis/roms_io_netcdf.md,190,def_var.F:166-171,RESOLVED,1,ROMS/Utility/def_var.F,166-171,6
models/ROMS/source-analysis/roms_io_netcdf.md,193,def_his.F:558,RESOLVED,1,ROMS/Utility/def_his.F,558-558,1
models/ROMS/source-analysis/roms_io_netcdf.md,200,mod_netcdf.F:117-126,RESOLVED,1,ROMS/Modules/mod_netcdf.F,117-126,10
models/ROMS/source-analysis/roms_nesting.md,19,ROMS/Include/cppdefs.h:557-562,RESOLVED,1,ROMS/Include/cppdefs.h,557-562,6
models/ROMS/source-analysis/roms_nesting.md,27,cppdefs.h:557-562,RESOLVED,1,ROMS/Include/cppdefs.h,557-562,6
models/ROMS/source-analysis/roms_open_boundaries.md,20,inp_decode.F:1617-1658,RESOLVED,1,ROMS/Utility/inp_decode.F,1617-1658,42
models/ROMS/source-analysis/roms_open_boundaries.md,123,inp_decode.F:1617-1658,RESOLVED,1,ROMS/Utility/inp_decode.F,1617-1658,42
models/ROMS/source-analysis/roms_representer_model.md,119,rp_def_ini.F:141,RESOLVED,1,ROMS/Representer/rp_def_ini.F,141-141,1
models/ROMS/source-analysis/roms_vertical_mixing.md,101,def_his.F:1595-1649,RESOLVED,1,ROMS/Utility/def_his.F,1595-1649,55
models/ROMS/source-analysis/roms_wec.md,19,"globaldefs.h:840-888, 861-879",RESOLVED,1,ROMS/Include/globaldefs.h,840-888;861-879,68
models/ROMS/source-analysis/roms_wec.md,33,globaldefs.h:861-867,RESOLVED,1,ROMS/Include/globaldefs.h,861-867,7
models/ROMS/source-analysis/roms_wec.md,142,globaldefs.h:840-844,RESOLVED,1,ROMS/Include/globaldefs.h,840-844,5
