note,note_line,ref,source,new_source,old,new,status,basis
models/Delft3D/source-analysis/delft3d_dflowfm_compute_core.md,113,s1ini.f90:328-344,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_kernel/compute/s1ini.f90,,328-344,332-348,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_compute_core.md,124,s1ini.f90:346-372,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_kernel/compute/s1ini.f90,,346-372,350-376,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_compute_core.md,126,s1ini.f90:374-376,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_kernel/compute/s1ini.f90,,374-376,378-380,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_compute_core.md,226,step_reduce_hydro.f90:213,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_kernel/compute/step_reduce_hydro.f90,,213,214,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_compute_core.md,227,step_reduce_hydro.f90:273-275,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_kernel/compute/step_reduce_hydro.f90,,273-275,274-276,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_compute_core.md,228,step_reduce_hydro.f90:286-303,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_kernel/compute/step_reduce_hydro.f90,,286-303,287-304,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_compute_core.md,229,step_reduce_hydro.f90:232-255,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_kernel/compute/step_reduce_hydro.f90,,232-255,233-256,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_compute_core.md,243,compute/s1ini.f90:328-344,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_kernel/compute/s1ini.f90,,328-344,332-348,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_compute_core.md,255,"compute/step_reduce_hydro.f90:167,213,273",src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_kernel/compute/step_reduce_hydro.f90,,"167,213,273","168,214,274",MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_compute_core.md,265,"furu.f90:150,200",src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_kernel/compute/furu.f90,,"150,200","151,200",MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,43,m_flow.f90:160-161,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90,,160-161,165-166,REANCHORED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,44,m_flow.f90:171,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90,,171,176,REANCHORED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,45,m_flow.f90:166-167,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90,,166-167,171-172,REANCHORED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,46,m_flow.f90:164-165,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90,,164-165,169-170,REANCHORED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,47,m_flow.f90:192-194,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90,,192-194,197-199,REANCHORED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,47,m_flow.f90:199,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90,,199,204,REANCHORED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,50,m_flow.f90:295-296,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90,,295-296,300-301,REANCHORED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,51,m_flow.f90:298,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90,,298,303,REANCHORED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,52,m_flow.f90:304,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90,,304,309,REANCHORED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,53,m_flow.f90:300,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90,,300,305,REANCHORED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,56,m_flow.f90:269-270,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90,,269-270,274-275,REANCHORED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,57,m_flow.f90:275-276,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90,,275-276,280-281,REANCHORED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,59,m_flow.f90:49-156,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90,,49-156,49-161,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,62,m_flow.f90:128-129,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90,,128-129,133-134,REANCHORED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,62,m_flow.f90:132-133,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90,,132-133,137-138,REANCHORED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,63,m_flow.f90:106,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90,,106,111,REANCHORED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,63,m_flow.f90:109-123,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90,,109-123,114-128,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,64,m_flow.f90:70-73,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90,,70-73,72-75,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,70,m_flowgeom.f90:82-86,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flowgeom.f90,,82-86,83-87,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,75,m_flowgeom.f90:101,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flowgeom.f90,,101,102,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,75,m_flowgeom.f90:102,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flowgeom.f90,,102,103,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,75,m_flowgeom.f90:88-93,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flowgeom.f90,,88-93,89-94,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,77,m_flowgeom.f90:124-126,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flowgeom.f90,,124-126,125-127,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,82,m_flowgeom.f90:127,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flowgeom.f90,,127,128,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,82,m_flowgeom.f90:128,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flowgeom.f90,,128,129,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,82,m_flowgeom.f90:130,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flowgeom.f90,,130,131,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,85,m_flowgeom.f90:103,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flowgeom.f90,,103,104,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,85,m_flowgeom.f90:47-56,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flowgeom.f90,,47-56,48-57,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,86,m_flowgeom.f90:131,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flowgeom.f90,,131,132,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,87,m_flowgeom.f90:133,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flowgeom.f90,,133,134,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,88,m_flowgeom.f90:134,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flowgeom.f90,,134,136,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,89,m_flowgeom.f90:111,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flowgeom.f90,,111,112,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,90,"m_flowgeom.f90:140,142",src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flowgeom.f90,,"140,142","142,144",MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,90,m_flowgeom.f90:141,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flowgeom.f90,,141,143,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,91,m_flowgeom.f90:137,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flowgeom.f90,,137,139,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,92,m_flowgeom.f90:193-194,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flowgeom.f90,,193-194,195-196,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,93,m_flowgeom.f90:163-166,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flowgeom.f90,,163-166,165-168,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,93,m_flowgeom.f90:154,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flowgeom.f90,,154,156,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,93,m_flowgeom.f90:159-160,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flowgeom.f90,,159-160,161-162,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,97,m_transport.f90:33-43,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_transport.f90,,33-43,30-40,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,99,"m_transport.f90:40,55-56",src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_transport.f90,,"40,55-56",,UNRESOLVED_SOURCE_REFERENCE,UNRESOLVED_SOURCE_REFERENCE: ITRA1/ITRAN 주석이 새 m_transport.f90 에 없음 — 서술만 남음
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,101,m_transport.f90:45,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_transport.f90,,45,41,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,102,m_transport.f90:48,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_transport.f90,,48,,UNRESOLVED_SOURCE_REFERENCE,UNRESOLVED_SOURCE_REFERENCE: NUMCONST 선언이 새 m_transport.f90 에 없음(다중 모듈 use 로 분산)
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,102,m_transport.f90:50-51,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_transport.f90,,50-51,49-50,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,103,m_transport.f90:62,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_transport.f90,,62,62,REANCHORED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,106,m_transport.f90:72,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_transport.f90,,72,73,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,106,m_transport.f90:77-78,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_transport.f90,,77-78,79-80,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,106,m_transport.f90:96-97,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_transport.f90,,96-97,98-99,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,106,m_transport.f90:101-103,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_transport.f90,,101-103,103-105,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,110,m_flowparameters.f90:39,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flowparameters.f90,,39,40,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,111,m_flowparameters.f90:40-46,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flowparameters.f90,,40-46,41-47,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,112,m_flowparameters.f90:60-74,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flowparameters.f90,,60-74,61-75,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,113,m_flowparameters.f90:82-84,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flowparameters.f90,,82-84,83-85,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,162,unstruc_netcdf.f90:85-86,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_io/unstruc_netcdf.f90,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/unstruc_netcdf_data.f90,85-86,26,RELOCATED,모듈 분리 — signature 유일 일치
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,162,unstruc_netcdf.f90:5285-5312,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_io/unstruc_netcdf.f90,,5285-5312,3727-3763,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,164,unstruc_netcdf.f90:71-77,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_io/unstruc_netcdf.f90,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/unstruc_netcdf_data.f90,71-77,18,RELOCATED,모듈 분리 — 주석 블록 확인
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,164,unstruc_netcdf.f90:74,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_io/unstruc_netcdf.f90,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/unstruc_netcdf_data.f90,74,21,RELOCATED,모듈 분리 — signature 유일 일치
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,164,unstruc_netcdf.f90:75-77,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_io/unstruc_netcdf.f90,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/unstruc_netcdf_data.f90,75-77,22,RELOCATED,모듈 분리 — signature 유일 일치
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,165,unstruc_netcdf.f90:2469,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_io/unstruc_netcdf.f90,,2469,895,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,167,unstruc_netcdf.f90:2518,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_io/unstruc_netcdf.f90,,2518,952,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,169,unstruc_netcdf.f90:104-125,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_io/unstruc_netcdf.f90,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/unstruc_netcdf_data.f90,104-125,45,RELOCATED,모듈 분리 — forbidden 속성 목록
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,169,unstruc_netcdf.f90:127-133,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_io/unstruc_netcdf.f90,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/unstruc_netcdf_data.f90,127-133,68,RELOCATED,모듈 분리 — 환경변수 속성 목록
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,172,unstruc_netcdf.f90:139-185,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_io/unstruc_netcdf.f90,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/unstruc_netcdf_data.f90,139-185,80,RELOCATED,모듈 분리 — signature 유일 일치
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,172,unstruc_netcdf.f90:181,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_io/unstruc_netcdf.f90,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/unstruc_netcdf_data.f90,181,122,RELOCATED,모듈 분리 — signature 유일 일치
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,173,unstruc_netcdf.f90:190,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_io/unstruc_netcdf.f90,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/unstruc_netcdf_data.f90,190,131,RELOCATED,모듈 분리 — signature 유일 일치
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,173,"unstruc_netcdf.f90:97,232-243",src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_io/unstruc_netcdf.f90,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/unstruc_netcdf_data.f90,"97,232-243",38,RELOCATED,모듈 분리 — signature 유일 일치
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,176,unstruc_netcdf.f90:5273,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_io/unstruc_netcdf.f90,,5273,3714,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,176,unstruc_netcdf.f90:5312,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_io/unstruc_netcdf.f90,,5312,3763,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,176,unstruc_netcdf.f90:8282,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_io/unstruc_netcdf.f90,,8282,6663,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,177,"unstruc_netcdf.f90:2931,2950",src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_io/unstruc_netcdf.f90,,"2931,2950","1365,1384",MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,178,"unstruc_netcdf.f90:11197,11903",src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_io/unstruc_netcdf.f90,,"11197,11903","9557,10264",MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,179,unstruc_netcdf.f90:15405,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_io/unstruc_netcdf.f90,,15405,13801,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,179,unstruc_netcdf.f90:15665,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_io/unstruc_netcdf.f90,,15665,13915,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,180,"unstruc_netcdf.f90:2750,2826",src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_io/unstruc_netcdf.f90,,"2750,2826","1184,1260",MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,182,unstruc_netcdf.f90:843,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_io/unstruc_netcdf.f90,,843,337,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,182,"unstruc_netcdf.f90:1380,1411,1349,1711",src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_io/unstruc_netcdf.f90,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/python/generate_unc_put_var_map.py,"1380,1411,1349,1711",32,RELOCATED,코드 생성으로 전환 — unc_put_var_map_* 는 빌드 시 generate_unc_put_var_map.py 가 생성(CMakeLists:87-88)
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,185,"unstruc_netcdf.f90:12975,12433",src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_io/unstruc_netcdf.f90,,"12975,12433","11336,10794",MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,186,unstruc_netcdf.f90:13445,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_io/unstruc_netcdf.f90,,13445,11838,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,187,unstruc_netcdf.f90:14818,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_io/unstruc_netcdf.f90,,14818,13214,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,187,"unstruc_netcdf.f90:13270,13215",src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_io/unstruc_netcdf.f90,,"13270,13215","11663,11608",MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,191,unc_write_his.F90:84,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_io/unc_write_his.F90,,84,87,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,191,unc_write_his.F90:49-64,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_io/unc_write_his.F90,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_io/unc_write_his.F90,49-64,49,RELOCATED,모듈 분리 — signature 유일 일치
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,195,wrimap.f90:79-92,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_io/wrimap.f90,,79-92,89-102,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,195,wrimap.f90:106,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_io/wrimap.f90,,106,116,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,195,wrimap.f90:112,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_io/wrimap.f90,,112,122,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,195,wrimap.f90:116-120,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_io/wrimap.f90,,116-120,126-130,MOVED,
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,228,unstruc_model.f90:60-61,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/unstruc_model.f90,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_unstruc_model_data.f90,60-61,24,RELOCATED,모듈 분리 — signature 유일 일치
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,228,unstruc_model.f90:63-73,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/unstruc_model.f90,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_unstruc_model_data.f90,63-73,27,RELOCATED,모듈 분리 — History 주석
