id,batch,note,note_line,wiki_claim,ref,source,old_ranges,new_ranges,span,hunks
D2-11,B,models/Delft3D/source-analysis/delft3d_dflowfm_waves.md,64,"`compute_wave_parameters` 에서 `hwav` 는 항상 breaking 한계 `gammax`로 clip: `hwav = min(hwav, gammax*hs)` (`compute_wave_parameters.f90:105`, `:66`, `:149`). NetCDF offline 입력은 `Hsig → Hrms` 변환 `hwav = hwavcom / √2` (`compute_wave_parameters.f90:101`).",compute_wave_parameters.f90:105,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_kernel/compute_waves/compute_wave_parameters.f90,105-105,REANCHOR(105-105),1,"[{""tag"": ""replace"", ""old"": ""97-105"", ""new"": ""99-101"", ""old_text"": [""      ! SWAN"", ""      if ((jawave == WAVE_SWAN_ONLINE .or. jawave == WAVE_NC_OFFLINE) .and. .not. flow_without_waves) then"", ""         if (jawave == WAVE_NC_OFFLINE) then"", ""            ! HSIG is read from SWAN NetCDF file. Convert to HRMS"", ""            hwav = hwavcom / sqrt2_hp""], ""new_text"": [""      ! Online SWAN coupling"", ""      if (jawave == WAVE_SWAN_ONLINE) then"", ""         hwav = min(hwavcom, gammax * hs)""]}]"
D2-12,B,models/Delft3D/source-analysis/delft3d_dflowfm_waves.md,64,"`compute_wave_parameters` 에서 `hwav` 는 항상 breaking 한계 `gammax`로 clip: `hwav = min(hwav, gammax*hs)` (`compute_wave_parameters.f90:105`, `:66`, `:149`). NetCDF offline 입력은 `Hsig → Hrms` 변환 `hwav = hwavcom / √2` (`compute_wave_parameters.f90:101`).",compute_wave_parameters.f90:101,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_kernel/compute_waves/compute_wave_parameters.f90,101-101,REANCHOR(101-101),1,"[{""tag"": ""replace"", ""old"": ""97-105"", ""new"": ""99-101"", ""old_text"": [""      ! SWAN"", ""      if ((jawave == WAVE_SWAN_ONLINE .or. jawave == WAVE_NC_OFFLINE) .and. .not. flow_without_waves) then"", ""         if (jawave == WAVE_NC_OFFLINE) then"", ""            ! HSIG is read from SWAN NetCDF file. Convert to HRMS"", ""            hwav = hwavcom / sqrt2_hp""], ""new_text"": [""      ! Online SWAN coupling"", ""      if (jawave == WAVE_SWAN_ONLINE) then"", ""         hwav = min(hwavcom, gammax * hs)""]}]"
D2-13,B,models/Delft3D/source-analysis/delft3d_dflowfm_waves.md,71,"- **force 한계(limiter)**: `facmax = 0.25·g·ρ·gammaloc²` (`setwavfu.f90:83`), `fmax = facmax·hu^1.5 / max(0.1, twav)` (`setwavfu.f90:108`, 3D는 `:150`).",setwavfu.f90:108,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_kernel/compute_waves/setwavfu.f90,108-108,REANCHOR(108-108),1,"[{""tag"": ""replace"", ""old"": ""107-108"", ""new"": ""114-116"", ""old_text"": [""               ! limit forces"", ""               fmax = facmax * hu(L)**1.5 / max(0.1_dp, twavL)""], ""new_text"": [""            ! Add the depth-distributed body force."", ""            wavfx = wavfx + ac1 * sbxwav(k1) + ac2 * sbxwav(k2)"", ""            wavfy = wavfy + ac1 * sbywav(k1) + ac2 * sbywav(k2)""]}]"
D2-14,B,models/Delft3D/source-analysis/delft3d_dflowfm_waves.md,72,"- **2D** (`kmx==0`): link 양 셀의 force를 `acl` 가중 평균 후 법선·접선 분해, 벡터 norm으로 한계 적용(성분별이 아님 — `:116` 주석 ""Should be done on the vector norm, nt separate comps""), 표면력+체적력 합산 (`setwavfu.f90:99-127`). 최종 가속도화: `wavfu *= min(huvli, 1/hminlw)/rhomean`, 단위 [m/s²] (`setwavf",setwavfu.f90:99-127,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_kernel/compute_waves/setwavfu.f90,99-127,REANCHOR(99-127),29,"[{""tag"": ""replace"", ""old"": ""99-100"", ""new"": ""100-103"", ""old_text"": [""               wavfx = ac1 * sxwav(k1) + ac2 * sxwav(k2)"", ""               wavfy = ac1 * sywav(k1) + ac2 * sywav(k2)""], ""new_text"": [""            ! Wave forcing is not applied to 1D links."", ""            if (L <= lnx1D) then"", ""               cycle"", ""            end if""]}, {""tag"": ""replace"", ""old"": ""102-103"", ""new"": ""105-108"", ""old_text"": [""               wavfbx = ac1 * sbxwav(k1) + ac2 * sbxwav(k2)"", ""               wavfby = ac1 * sbywav(k1) + ac2 * sbywav(k2)""], ""new_text"": [""            k1 = ln(1, L)"", ""            k2 = ln(2, L)"", ""            ac1 = acl(L)"", ""            ac2 = 1.0_dp - ac1""]}, {""tag"": ""replace"", ""old"": ""105-105"", ""new"": ""110-112"", ""old_text"": [""               twavL = ac1 * twav(k1) + ac2 * twav(k2)""], ""new_text"": [""            ! Interpolate surface force to the link."", ""            wavfx = ac1 * sxwav(k1) + ac2 * sxwav(k2)"", ""            wavfy = ac1 * sywav(k1) + ac2 * sywav(k2)""]}]"
D2-15,B,models/Delft3D/source-analysis/delft3d_dflowfm_waves.md,72,"- **2D** (`kmx==0`): link 양 셀의 force를 `acl` 가중 평균 후 법선·접선 분해, 벡터 norm으로 한계 적용(성분별이 아님 — `:116` 주석 ""Should be done on the vector norm, nt separate comps""), 표면력+체적력 합산 (`setwavfu.f90:99-127`). 최종 가속도화: `wavfu *= min(huvli, 1/hminlw)/rhomean`, 단위 [m/s²] (`setwavf",setwavfu.f90:130-131,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_kernel/compute_waves/setwavfu.f90,130-131,REANCHOR(130-131),2,"[{""tag"": ""replace"", ""old"": ""129-132"", ""new"": ""131-134"", ""old_text"": [""            !"", ""            wavfu(L) = wavfu(L) * min(huvli(L), hminlwi) / rhomean ! Dimensions [m/s^2]"", ""            wavfv(L) = wavfv(L) * min(huvli(L), hminlwi) / rhomean"", ""            !""], ""new_text"": ["""", ""            ! Convert force [N/m2] to acceleration [m/s2]."", ""            wavfu(L) = wavfu_loc * min(huvli(L), hminlwi) / rhomean"", ""            wavfv(L) = wavfv_loc * min(huvli(L), hminlwi) / rhomean""]}]"
D2-16,B,models/Delft3D/source-analysis/delft3d_dflowfm_waves.md,73,"- **3D** (`kmx>0`): 표면력은 **최상위 층(Lt)에만** 부여 — ""as in D3D"" (`setwavfu.f90:159`), 체적력은 연직 균일 분배 (`setwavfu.f90:196-199`).",setwavfu.f90:159,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_kernel/compute_waves/setwavfu.f90,159-159,REANCHOR(159-159),1,"[{""tag"": ""replace"", ""old"": ""159-195"", ""new"": ""167-198"", ""old_text"": [""            wavfu(Lt) = sign(min(abs(wavfu_loc), fmax), wavfu_loc) / rhoL / max(hu(LL) - hu(Lt - 1), hminlw) ! top layer, as in D3D"", ""            wavfv(Lt) = sign(min(abs(wavfv_loc), fmax), wavfv_loc) / rhoL / max(hu(LL) - hu(Lt - 1), hminlw) ! this limitation only works in sigma layers"", ""            !"", ""            ! The following is pretty inaccurate for limited nr of layers:"", ""            !""], ""new_text"": ["""", ""            ! Depth-distributed body force at the link."", ""            wavfbx = ac1 * sbxwav(k1) + ac2 * sbxwav(k2)"", ""            wavfby = ac1 * sbywav(k1) + ac2 * sbywav(k2)"", """"]}]"
D2-17,B,models/Delft3D/source-analysis/delft3d_dflowfm_waves.md,73,"- **3D** (`kmx>0`): 표면력은 **최상위 층(Lt)에만** 부여 — ""as in D3D"" (`setwavfu.f90:159`), 체적력은 연직 균일 분배 (`setwavfu.f90:196-199`).",setwavfu.f90:196-199,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_kernel/compute_waves/setwavfu.f90,196-199,199-204,4,"[{""tag"": ""replace"", ""old"": ""197-198"", ""new"": ""200-203"", ""old_text"": [""               wavfu(L) = wavfu(L) + sign(min(abs(wavfu_loc), fmax), wavfu_loc) / rhoL / max(hu(LL), hminlw)"", ""               wavfv(L) = wavfv(L) + sign(min(abs(wavfv_loc), fmax), wavfv_loc) / rhoL / max(hu(LL), hminlw)""], ""new_text"": [""               wavfu(L) = wavfu(L) + wavfbu_loc &"", ""                          / (rhoL * max(hu(LL), hminlw))"", ""               wavfv(L) = wavfv(L) + wavfbv_loc &"", ""                          / (rhoL * max(hu(LL), hminlw))""]}]"
D2-18,B,models/Delft3D/source-analysis/delft3d_dflowfm_waves.md,80,- mass flux 한계: `massflux_max = (1/8)·g·hs^1.5·gammax²` (`wave_comp_stokes_velocities.f90:81`).,wave_comp_stokes_velocities.f90:81,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_kernel/compute_waves/wave_comp_stokes_velocities.f90,81-81,REANCHOR(81-81),1,"[{""tag"": ""replace"", ""old"": ""81-81"", ""new"": ""81-81"", ""old_text"": [""         massflux_max = 1.0_dp / 8.0_dp * sag * (hs(k)**1.5) * (gammax**2)""], ""new_text"": [""         massflux_max = (1.0_dp / 8.0_dp) * sag * (hs(k)**1.5) * (gammax**2)""]}]"
D2-19,B,models/Delft3D/source-analysis/delft3d_dflowfm_waves.md,182,"- **공통 D3D 관례 유지**: 3D 표면력 최상위 층 부여(`setwavfu.f90:159`), 경계 mass flux 연직 균일(`setwavmubnd.f90:81`), `jauorb==0` 의 `√π/2` 보정(`wave_uorbrlabda.f90:84`) — 모두 ""as in D3D"" 명시.",setwavfu.f90:159,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_kernel/compute_waves/setwavfu.f90,159-159,REANCHOR(159-159),1,"[{""tag"": ""replace"", ""old"": ""159-195"", ""new"": ""167-198"", ""old_text"": [""            wavfu(Lt) = sign(min(abs(wavfu_loc), fmax), wavfu_loc) / rhoL / max(hu(LL) - hu(Lt - 1), hminlw) ! top layer, as in D3D"", ""            wavfv(Lt) = sign(min(abs(wavfv_loc), fmax), wavfv_loc) / rhoL / max(hu(LL) - hu(Lt - 1), hminlw) ! this limitation only works in sigma layers"", ""            !"", ""            ! The following is pretty inaccurate for limited nr of layers:"", ""            !""], ""new_text"": ["""", ""            ! Depth-distributed body force at the link."", ""            wavfbx = ac1 * sbxwav(k1) + ac2 * sbxwav(k2)"", ""            wavfby = ac1 * sbywav(k1) + ac2 * sbywav(k2)"", """"]}]"
D2-20,C,models/Delft3D/source-analysis/delft3d_dredge_dump.md,20,"- `utils_gpl/morphology/packages/morphology_kernel/src/dredge.f90:30-37, 99-126, 176-1655` — core DAD module.","utils_gpl/morphology/packages/morphology_kernel/src/dredge.f90:30-37, 99-126, 176-1655",src/utils_gpl/morphology/packages/morphology_kernel/src/dredge.f90,30-37;99-126;176-1655,28-35;95-122;171-1648,1516,"[{""tag"": ""replace"", ""old"": ""31-31"", ""new"": ""29-31"", ""old_text"": [""    private""], ""new_text"": [""   implicit none"", ""   private"", ""   public dredge""]}, {""tag"": ""replace"", ""old"": ""33-35"", ""new"": ""33-33"", ""old_text"": [""    public dredge"", ""    "", ""    contains""], ""new_text"": [""   contains""]}, {""tag"": ""delete"", ""old"": ""209-209"", ""new"": ""204-204"", ""old_text"": [""    implicit none""], ""new_text"": [""    ""]}]"
D2-21,C,models/Delft3D/source-analysis/delft3d_dredge_dump.md,21,- `flow2d3d/packages/flow2d3d_kernel/src/compute_sediment/dredge_d3d4.f90:1-137` — FLOW wrapper.,flow2d3d/packages/flow2d3d_kernel/src/compute_sediment/dredge_d3d4.f90:1-137,src/engines_gpl/flow2d3d/packages/flow2d3d_kernel/src/compute_sediment/dredge_d3d4.f90,1-137,1-141,137,"[{""tag"": ""insert"", ""old"": ""82-82"", ""new"": ""82-82"", ""old_text"": [""""], ""new_text"": [""    real(hp)                                 :: morft   ""]}, {""tag"": ""replace"", ""old"": ""132-132"", ""new"": ""133-134"", ""old_text"": [""       hdtmor    = hdt*morfac""], ""new_text"": [""       hdtmor    = 0.0_fp"", ""       morft = -999.0_hp ""]}, {""tag"": ""replace"", ""old"": ""136-136"", ""new"": ""138-140"", ""old_text"": [""       if (updmorlyr(gdmorlyr, dbodsd, dz_dummy, dunelength, sbot, hdtmor, messages) /= 0) then""], ""new_text"": [""       ! update morlyr but do not perform any time dependent development (dt = 0.0_fp)"", ""       ! such developments only occur during call from bott3d"", ""       if (updmorlyr(gdmorlyr, dbodsd, dz_dummy, dunelength, sbot, hdtmor, morft, messages) /= 0) then""]}]"
D2-22,C,models/Delft3D/source-analysis/delft3d_dredge_dump.md,23,"- `flow2d3d/packages/flow2d3d_kernel/src/main/bott3d.f90:775-1285`, `z_bott3d.f90:1264-1267` — call sites.",flow2d3d/packages/flow2d3d_kernel/src/main/bott3d.f90:775-1285,src/engines_gpl/flow2d3d/packages/flow2d3d_kernel/src/compute_sediment/bott3d.f90,775-1285,784-1303,511,"[{""tag"": ""insert"", ""old"": ""784-784"", ""new"": ""793-794"", ""old_text"": [""                   endif""], ""new_text"": [""                      depflxf(l, nm) = sinkf(l, nm)*r1(nm, k, ll)*thick1"", ""                      eroflxf(l, nm) = sourf(l, nm)              *thick0""]}, {""tag"": ""replace"", ""old"": ""852-852"", ""new"": ""863-868"", ""old_text"": [""       call fluff_burial(gdp%gdmorpar%flufflyr, dbodsd, lsed, lsedtot, gdp%d%nmlb, gdp%d%nmub, dt, morfac)""], ""new_text"": [""       allocate(rhowat2d(gdp%d%nmlb:gdp%d%nmub))"", ""       do nm = 1, nmmax"", ""          rhowat2d(nm) = rhowat(nm,kmax)"", ""       enddo"", ""       call fluff_burial(gdp%gdmorpar%flufflyr, dbodsd, lsed, lsedtot, gdp%d%nmlb, gdp%d%nmub, dt, morfac, iconsolidate, rhosol, rhowat2d)""]}, {""tag"": ""replace"", ""old"": ""1040-1042"", ""new"": ""1056-1062"", ""old_text"": [""          allocate(dunelength_tmp(gdp%d%nmlb:gdp%d%nmub))"", ""          sbot      = 0.0_fp "", ""          dunelength_tmp = 1.0e10_fp""], ""new_text"": [""          sbot      = 0.0_fp"", ""          if (associated(gdp%gdbedformpar%dunelength)) then"", ""              dunelength_tmp => gdp%gdbedformpar%dunelength"", ""          else"", ""              allocate(dunelength_tmp(gdp%d%nmlb:gdp%d%nmub))""]}]"
D2-23,C,models/Delft3D/source-analysis/delft3d_dredge_dump.md,132,"1. `bott3d` computes normal `dbodsd`, calls `updmorlyr`, computes `depchg` (`bott3d.f90:1027-1088`).",bott3d.f90:1027-1088,src/engines_gpl/flow2d3d/packages/flow2d3d_kernel/src/compute_sediment/bott3d.f90,1027-1088,1043-1104,62,"[{""tag"": ""replace"", ""old"": ""1040-1042"", ""new"": ""1056-1062"", ""old_text"": [""          allocate(dunelength_tmp(gdp%d%nmlb:gdp%d%nmub))"", ""          sbot      = 0.0_fp "", ""          dunelength_tmp = 1.0e10_fp""], ""new_text"": [""          sbot      = 0.0_fp"", ""          if (associated(gdp%gdbedformpar%dunelength)) then"", ""              dunelength_tmp => gdp%gdbedformpar%dunelength"", ""          else"", ""              allocate(dunelength_tmp(gdp%d%nmlb:gdp%d%nmub))""]}, {""tag"": ""delete"", ""old"": ""1055-1058"", ""new"": ""1075-1075"", ""old_text"": [""              !"", ""              ! Get dunelength"", ""              !"", ""              dunelength_tmp = dunelength""], ""new_text"": [""              !""]}, {""tag"": ""replace"", ""old"": ""1082-1082"", ""new"": ""1098-1098"", ""old_text"": [""          if (updmorlyr(gdp%gdmorlyr, dbodsd, depchg, dunelength_tmp, sbot, dtmor, gdp%messages) /= 0) then""], ""new_text"": [""          if (updmorlyr(gdp%gdmorlyr, dbodsd, depchg, dunelength_tmp, sbot, dtmor, morft, gdp%messages) /= 0) then""]}]"
D2-24,C,models/Delft3D/source-analysis/delft3d_dredge_dump.md,137,"- `updmorlyr(gdmorlyr, dbodsd, dz_dummy, ...)` (`dredge_d3d4.f90:121-137`).",dredge_d3d4.f90:121-137,src/engines_gpl/flow2d3d/packages/flow2d3d_kernel/src/compute_sediment/dredge_d3d4.f90,121-137,122-141,17,"[{""tag"": ""replace"", ""old"": ""132-132"", ""new"": ""133-134"", ""old_text"": [""       hdtmor    = hdt*morfac""], ""new_text"": [""       hdtmor    = 0.0_fp"", ""       morft = -999.0_hp ""]}, {""tag"": ""replace"", ""old"": ""136-136"", ""new"": ""138-140"", ""old_text"": [""       if (updmorlyr(gdmorlyr, dbodsd, dz_dummy, dunelength, sbot, hdtmor, messages) /= 0) then""], ""new_text"": [""       ! update morlyr but do not perform any time dependent development (dt = 0.0_fp)"", ""       ! such developments only occur during call from bott3d"", ""       if (updmorlyr(gdmorlyr, dbodsd, dz_dummy, dunelength, sbot, hdtmor, morft, messages) /= 0) then""]}]"
D2-25,C,models/Delft3D/source-analysis/sediment/delft3d_sediment.md,27,- `main/trisol.f90:1968-3279` — call sites.,main/trisol.f90:1968-3279,src/engines_gpl/flow2d3d/packages/flow2d3d_kernel/src/main/trisol.f90,1968-3279,REANCHOR(1968-3279),1312,"[{""tag"": ""replace"", ""old"": ""2167-2167"", ""new"": ""2169-2169"", ""old_text"": [""                  & r(sumrho) ,r(rhowat) ,rhosol    ,ifirst_dens,gdp       )""], ""new_text"": [""                  & r(sumrho) ,r(rhowat) ,ifirst_dens,gdp       )""]}, {""tag"": ""replace"", ""old"": ""2205-2207"", ""new"": ""2207-2209"", ""old_text"": [""          call bott3d(nmmax     ,kmax      ,lsed      , &"", ""                    & lsedtot   ,lsal      ,ltem      ,i(kfs)    ,i(kfu)    , &"", ""                    & i(kfv)    ,r(r1)     ,r(s0)     ,i(kcs)    , &""], ""new_text"": [""          call bott3d(nmmax     ,kmax      ,lsed      ,lsedtot   , &"", ""                    & lsal      ,ltem      ,i(kfs)    ,i(kfu)    ,i(kfv)    , &"", ""                    & r(r1)     ,r(s0)     ,i(kcs)    ,r(rhowat) , &""]}, {""tag"": ""replace"", ""old"": ""2602-2602"", ""new"": ""2604-2604"", ""old_text"": [""                    & ltem      ,lsed      ,saleqs    ,temeqs    ,rhosol    , &""], ""new_text"": [""                    & ltem      ,lsed      ,saleqs    ,temeqs    , &""]}]"
D2-26,C,models/Delft3D/source-analysis/sediment/delft3d_sediment.md,43,Mud/cohesive routed through `erosilt` (`erosed.f90:1045-1081`).,erosed.f90:1045-1081,src/engines_gpl/flow2d3d/packages/flow2d3d_kernel/src/compute_sediment/erosed.f90,1045-1081,1070-1110,37,"[{""tag"": ""insert"", ""old"": ""1056-1056"", ""new"": ""1081-1084"", ""old_text"": [""             if (flmd2l) then""], ""new_text"": [""             if (iconsolidate == CONSOL_NONE) then"", ""                dll_reals(RP_POROS) = 1.0_hp - real(cdryb(l)/rhosol(l), hp)"", ""             endif"", ""             !""]}, {""tag"": ""replace"", ""old"": ""1080-1080"", ""new"": ""1109-1109"", ""old_text"": [""                        & fracf       ,maxslope    ,wetslope    , &""], ""new_text"": [""                        & fracf       ,tcrero_bed(nm), eropar_bed(nm), maxslope    ,wetslope    , &""]}]"
