note,status,basis
models/ADCIRC/source-analysis/adcirc-boundary-conditions.md,REVIEW_ONLY,변경된 파일 인용(src/gwce.F) — 인용 지점은 절·파일 단위이거나 변경 hunk 밖. snapshot 갱신 시 줄 번호 이동 확인 필요
models/ADCIRC/source-analysis/adcirc-dg-continuity-solver.md,REVIEW_ONLY,"변경된 파일 인용(prep/prep.F,prep/presizes.F,src/global.F,src/read_input.F,src/timestep.F,src/write_output.F) — 인용 지점은 절·파일 단위이거나 변경 hunk 밖. snapshot 갱신 시 줄 번호 이동 확인 필요"
models/ADCIRC/source-analysis/adcirc-domain-design-process.md,NO_ACTION,이번 14커밋에서 변경된 파일을 인용하지 않음
models/ADCIRC/source-analysis/adcirc-fort-files-reference.md,REVIEW_ONLY,"변경된 파일 인용(prep/prep.F,src/cstart.F,src/gwce.F,src/hstart.F,src/nodalattr.F,src/owiwind.F,src/read_input.F,src/write_output.F) — 인용 지점은 절·파일 단위이거나 변경 hunk 밖. snapshot 갱신 시 줄 번호 이동 확인 필요"
models/ADCIRC/source-analysis/adcirc-fort15-checklist-v1.md,REVIEW_ONLY,변경된 파일 인용(src/read_input.F) — 인용 지점은 절·파일 단위이거나 변경 hunk 밖. snapshot 갱신 시 줄 번호 이동 확인 필요
models/ADCIRC/source-analysis/adcirc-gwce-implementation.md,REVIEW_ONLY,"변경된 파일 인용(src/cstart.F,src/gwce.F,src/hstart.F,src/read_input.F) — 인용 지점은 절·파일 단위이거나 변경 hunk 밖. snapshot 갱신 시 줄 번호 이동 확인 필요"
models/ADCIRC/source-analysis/adcirc-hotstart.md,REVIEW_ONLY,"변경된 파일 인용(src/hstart.F,src/netcdfio.F90,src/read_input.F,src/timestep.F,src/vsmy.F,src/write_output.F) — 인용 지점은 절·파일 단위이거나 변경 hunk 밖. snapshot 갱신 시 줄 번호 이동 확인 필요"
models/ADCIRC/source-analysis/adcirc-itpack-solver.md,REVIEW_ONLY,변경된 파일 인용(src/gwce.F) — 인용 지점은 절·파일 단위이거나 변경 hunk 밖. snapshot 갱신 시 줄 번호 이동 확인 필요
models/ADCIRC/source-analysis/adcirc-met-forcing-implementation.md,REVIEW_ONLY,"변경된 파일 인용(src/owiwind.F,src/read_input.F,src/write_output.F) — 인용 지점은 절·파일 단위이거나 변경 hunk 밖. snapshot 갱신 시 줄 번호 이동 확인 필요"
models/ADCIRC/source-analysis/adcirc-momentum-implementation.md,REVIEW_ONLY,"변경된 파일 인용(src/gwce.F,src/nodalattr.F,src/timestep.F,src/vsmy.F) — 인용 지점은 절·파일 단위이거나 변경 hunk 밖. snapshot 갱신 시 줄 번호 이동 확인 필요"
models/ADCIRC/source-analysis/adcirc-nffr-periodic-flux-boundary.md,REVIEW_ONLY,"변경된 파일 인용(src/gwce.F,src/read_input.F,src/timestep.F) — 인용 지점은 절·파일 단위이거나 변경 hunk 밖. snapshot 갱신 시 줄 번호 이동 확인 필요"
models/ADCIRC/source-analysis/adcirc-nodal-attributes.md,UPDATE_REQUIRED,"976fc5b6 이 nodalattr.F 에 nodal attribute `swan_local_control` 추가(hunk @@-645,6+666,8@@ 등). 노트 §1 카탈로그(nodalattr.F:636-686, 16종)는 이 항목을 포함하지 않음"
models/ADCIRC/source-analysis/adcirc-output-writers-implementation.md,REVIEW_ONLY,"변경된 파일 인용(src/read_input.F,src/timestep.F,src/write_output.F) — 인용 지점은 절·파일 단위이거나 변경 hunk 밖. snapshot 갱신 시 줄 번호 이동 확인 필요"
models/ADCIRC/source-analysis/adcirc-parallel-implementation.md,REVIEW_ONLY,"변경된 파일 인용(prep/prep.F,src/gwce.F,src/read_input.F,src/write_output.F) — 인용 지점은 절·파일 단위이거나 변경 hunk 밖. snapshot 갱신 시 줄 번호 이동 확인 필요"
models/ADCIRC/source-analysis/adcirc-parameter-glossary-v1.md,REVIEW_ONLY,"변경된 파일 인용(src/global.F,src/nodalattr.F) — 인용 지점은 절·파일 단위이거나 변경 hunk 밖. snapshot 갱신 시 줄 번호 이동 확인 필요"
models/ADCIRC/source-analysis/adcirc-preprocessing-foundation.md,NO_ACTION,이번 14커밋에서 변경된 파일을 인용하지 않음
models/ADCIRC/source-analysis/adcirc-swan-coupling.md,UPDATE_REQUIRED,"976fc5b6(2026-03-05) SWAN temporal controls 가 upstream 에 merge — 노트 §SWAN Temporal Controls(176-178행)는 ""PR #498 (OPEN, phase 1 of 2)"" 로 서술. 인용 `couple2swan.F:1212-1215` 가 변경 hunk @@-1212,7 +1241,55@@ 안(+48줄, SWAN_MTC gate·미호출 시 출력/radiation stress 초기화 추가)"
models/ADCIRC/source-analysis/adcirc-tidal-forcing.md,REVIEW_ONLY,"변경된 파일 인용(src/gwce.F,src/nodalattr.F,src/timestep.F) — 인용 지점은 절·파일 단위이거나 변경 hunk 밖. snapshot 갱신 시 줄 번호 이동 확인 필요"
models/ADCIRC/source-analysis/adcirc-timestep-orchestration.md,REVIEW_ONLY,"변경된 파일 인용(src/gwce.F,src/read_input.F,src/timestep.F) — 인용 지점은 절·파일 단위이거나 변경 hunk 밖. snapshot 갱신 시 줄 번호 이동 확인 필요"
models/ADCIRC/source-analysis/adcirc-topic-map.md,NO_ACTION,이번 14커밋에서 변경된 파일을 인용하지 않음
models/ADCIRC/source-analysis/adcirc-transport-solver.md,REVIEW_ONLY,변경된 파일 인용(src/vsmy.F) — 인용 지점은 절·파일 단위이거나 변경 hunk 밖. snapshot 갱신 시 줄 번호 이동 확인 필요
models/ADCIRC/source-analysis/adcirc-weir-boundary.md,REVIEW_ONLY,변경된 파일 인용(src/weir_boundary.F90) — 인용 지점은 절·파일 단위이거나 변경 hunk 밖. snapshot 갱신 시 줄 번호 이동 확인 필요
models/ADCIRC/source-analysis/adcirc-wetting-drying-implementation.md,REVIEW_ONLY,변경된 파일 인용(src/gwce.F) — 인용 지점은 절·파일 단위이거나 변경 hunk 밖. snapshot 갱신 시 줄 번호 이동 확인 필요
models/ADCIRC/source-analysis/adcirc.md,NO_ACTION,이번 14커밋에서 변경된 파일을 인용하지 않음
models/ADCIRC/source-analysis/adcirc_asgs_operational_system.md,NO_ACTION,이번 14커밋에서 변경된 파일을 인용하지 않음
models/ADCIRC/source-analysis/adcirc_gahm_vortex_model.md,NO_ACTION,이번 14커밋에서 변경된 파일을 인용하지 않음
models/ADCIRC/source-analysis/storm-surge/README.md,REVIEW_ONLY,변경된 파일 인용(src/read_input.F) — 인용 지점은 절·파일 단위이거나 변경 hunk 밖. snapshot 갱신 시 줄 번호 이동 확인 필요
models/ADCIRC/source-analysis/storm-surge/adcirc-storm-surge-foundation.md,REVIEW_ONLY,변경된 파일 인용(src/read_input.F) — 인용 지점은 절·파일 단위이거나 변경 hunk 밖. snapshot 갱신 시 줄 번호 이동 확인 필요
models/ADCIRC/source-analysis/storm-surge/adcirc-storm-surge-nws-families.md,REVIEW_ONLY,변경된 파일 인용(src/read_input.F) — 인용 지점은 절·파일 단위이거나 변경 hunk 밖. snapshot 갱신 시 줄 번호 이동 확인 필요
models/ADCIRC/source-analysis/storm-surge/adcirc-storm-surge-requirements-checklist.md,NO_ACTION,이번 14커밋에서 변경된 파일을 인용하지 않음
models/ADCIRC/source-analysis/storm-surge/adcirc-storm-surge.md,REVIEW_ONLY,"변경된 파일 인용(src/constants.F90,src/owiwind.F,src/read_input.F) — 인용 지점은 절·파일 단위이거나 변경 hunk 밖. snapshot 갱신 시 줄 번호 이동 확인 필요"
models/ADCIRC/source-analysis/tide/adcirc-tide-forcing-implementation.md,REVIEW_ONLY,"변경된 파일 인용(src/cstart.F,src/global.F,src/gwce.F,src/hstart.F,src/mesh.F,src/read_input.F,src/timestep.F) — 인용 지점은 절·파일 단위이거나 변경 hunk 밖. snapshot 갱신 시 줄 번호 이동 확인 필요"
models/ADCIRC/source-analysis/tide/adcirc-tide-harmonic-prep.md,REVIEW_ONLY,"변경된 파일 인용(src/gwce.F,src/hstart.F,src/mesh.F,src/read_input.F,src/timestep.F) — 인용 지점은 절·파일 단위이거나 변경 hunk 밖. snapshot 갱신 시 줄 번호 이동 확인 필요"
models/ADCIRC/web-refs/adcirc-foundational-papers.md,NO_ACTION,이번 14커밋에서 변경된 파일을 인용하지 않음
models/ADCIRC/web-refs/adcirc-official-resources.md,NO_ACTION,이번 14커밋에서 변경된 파일을 인용하지 않음
