note_file,note_line,ref_kind,ref_file,ref_line_start,ref_line_end,ref_symbol,context
models/ADCIRC/manual-notes/05-input-files-reference.md,8,file,adcirc.github.io/adcirc.org/github.c,,,,"notes: ""P2 catalog audit 2026-05-24 — external URL catalog (adcirc.github.io/adcirc.org/github.com) verified via WebFetch sampling (03 theory + 06 parameter"
models/ADCIRC/manual-notes/05-input-files-reference.md,19,file,//adcirc.github.io/adcirc/technical_reference/input_files/index.h,,,,- link: https://adcirc.github.io/adcirc/technical_reference/input_files/index.html
models/ADCIRC/manual-notes/06-parameter-definitions.md,8,file,adcirc.github.io/adcirc.org/github.c,,,,"notes: ""P2 catalog audit 2026-05-24 — external URL catalog (adcirc.github.io/adcirc.org/github.com) verified via WebFetch sampling (03 theory + 06 parameter"
models/ADCIRC/manual-notes/06-parameter-definitions.md,19,file,//adcirc.github.io/adcirc/technical_reference/parameter_definitions/index.h,,,,- link: https://adcirc.github.io/adcirc/technical_reference/parameter_definitions/index.html
models/ADCIRC/manual-notes/07-examples-index.md,8,file,adcirc.github.io/adcirc.org/github.c,,,,"notes: ""P2 catalog audit 2026-05-24 — external URL catalog (adcirc.github.io/adcirc.org/github.com) verified via WebFetch sampling (03 theory + 06 parameter"
models/ADCIRC/manual-notes/07-examples-index.md,19,file,//adcirc.github.io/adcirc/user_guide/examples/index.h,,,,- link: https://adcirc.github.io/adcirc/user_guide/examples/index.html
models/ADCIRC/manual-notes/08-official-example-problems.md,8,file,adcirc.github.io/adcirc.org/github.c,,,,"notes: ""P2 catalog audit 2026-05-24 — external URL catalog (adcirc.github.io/adcirc.org/github.com) verified via WebFetch sampling (03 theory + 06 parameter"
models/ADCIRC/manual-notes/09-support-and-faq.md,8,file,adcirc.github.io/adcirc.org/github.c,,,,"notes: ""P2 catalog audit 2026-05-24 — external URL catalog (adcirc.github.io/adcirc.org/github.com) verified via WebFetch sampling (03 theory + 06 parameter"
models/ADCIRC/manual-notes/09-support-and-faq.md,19,file,//adcirc.github.io/adcirc/questions_and_support/index.h,,,,- link: https://adcirc.github.io/adcirc/questions_and_support/index.html ; https://adcirc.org/home/adcirc-faq/
models/ADCIRC/manual-notes/09-support-and-faq.md,28,symbol,,,,adcprep,"- the FAQ gives concrete advice for instability, `adcprep` file-handle limits, SWAN coupling file placement, prefix-di"
models/ADCIRC/manual-notes/09-support-and-faq.md,48,symbol,,,,playbook,gh. This should directly inform local `failure-pattern` and `playbook` notes.
models/ADCIRC/manual-notes/10-github-repo-and-releases.md,8,file,adcirc.github.io/adcirc.org/github.c,,,,"notes: ""P2 catalog audit 2026-05-24 — external URL catalog (adcirc.github.io/adcirc.org/github.com) verified via WebFetch sampling (03 theory + 06 parameter"
models/ADCIRC/manual-notes/10-github-repo-and-releases.md,19,file,//github.c,,,,- link: https://github.com/adcirc/adcirc ; https://github.com/adcirc/adcirc/releases
models/ADCIRC/manual-notes/10-github-repo-and-releases.md,19,file,//github.c,,,,- link: https://github.com/adcirc/adcirc ; https://github.com/adcirc/adcirc/releases
models/ADCIRC/manual-notes/11-testsuite.md,8,file,adcirc.github.io/adcirc.org/github.c,,,,"notes: ""P2 catalog audit 2026-05-24 — external URL catalog (adcirc.github.io/adcirc.org/github.com) verified via WebFetch sampling (03 theory + 06 parameter"
models/ADCIRC/manual-notes/11-testsuite.md,19,file,//github.c,,,,- link: https://github.com/adcirc/adcirc-testsuite
models/ADCIRC/manual-notes/12-tooling-ecosystem.md,8,file,adcirc.github.io/adcirc.org/github.c,,,,"notes: ""P2 catalog audit 2026-05-24 — external URL catalog (adcirc.github.io/adcirc.org/github.com) verified via WebFetch sampling (03 theory + 06 parameter"
models/ADCIRC/manual-notes/12-tooling-ecosystem.md,19,file,//adcirc.github.io/adcirc/tools/index.h,,,,- link: https://adcirc.github.io/adcirc/tools/index.html ; https://github.com/oceanmodeling/adcircpy ; https://gi
models/ADCIRC/manual-notes/12-tooling-ecosystem.md,19,file,//github.c,,,,k: https://adcirc.github.io/adcirc/tools/index.html ; https://github.com/oceanmodeling/adcircpy ; https://github-wiki-see.page/m/S
models/ADCIRC/manual-notes/13-nws13-and-jma-msm-path.md,8,file,adcirc.github.io/adcirc.org/github.c,,,,"notes: ""P2 catalog audit 2026-05-24 — external URL catalog (adcirc.github.io/adcirc.org/github.com) verified via WebFetch sampling (03 theory + 06 parameter"
models/ADCIRC/manual-notes/13-nws13-and-jma-msm-path.md,19,file,nws13.rst,,,,"- link: synthesis of ADCIRC docs `nws13.rst`, `fort22.rst` and testsuite `adcirc_katrina-2d-nws13`"
models/ADCIRC/manual-notes/13-nws13-and-jma-msm-path.md,19,file,fort22.rst,,,,"- link: synthesis of ADCIRC docs `nws13.rst`, `fort22.rst` and testsuite `adcirc_katrina-2d-nws13`"
models/ADCIRC/manual-notes/14-fort14-grid-bathymetry-boundaries.md,8,file,adcirc.github.io/adcirc.org/github.c,,,,"notes: ""P2 catalog audit 2026-05-24 — external URL catalog (adcirc.github.io/adcirc.org/github.com) verified via WebFetch sampling (03 theory + 06 parameter"
models/ADCIRC/manual-notes/14-fort14-grid-bathymetry-boundaries.md,19,file,//adcirc.github.io/adcirc/technical_reference/input_files/fort14.h,,,,- link: https://adcirc.github.io/adcirc/technical_reference/input_files/fort14.html
models/ADCIRC/manual-notes/15-mesh-tools-and-grid-editing.md,8,file,adcirc.github.io/adcirc.org/github.c,,,,"notes: ""P2 catalog audit 2026-05-24 — external URL catalog (adcirc.github.io/adcirc.org/github.com) verified via WebFetch sampling (03 theory + 06 parameter"
models/ADCIRC/manual-notes/15-mesh-tools-and-grid-editing.md,19,file,//adcirc.github.io/adcirc/tools/index.h,,,,- link: https://adcirc.github.io/adcirc/tools/index.html ; https://adcirc.github.io/adcirc/tools/sms.html ; https
models/ADCIRC/manual-notes/15-mesh-tools-and-grid-editing.md,19,file,//adcirc.github.io/adcirc/tools/sms.h,,,,k: https://adcirc.github.io/adcirc/tools/index.html ; https://adcirc.github.io/adcirc/tools/sms.html ; https://adcirc.github.io/adcirc/tools/oceanmesh2d.html
models/ADCIRC/manual-notes/15-mesh-tools-and-grid-editing.md,19,file,//adcirc.github.io/adcirc/tools/oceanmesh2d.h,,,,ml ; https://adcirc.github.io/adcirc/tools/sms.html ; https://adcirc.github.io/adcirc/tools/oceanmesh2d.html ; https://adcirc.github.io/adcirc/user_guide/tips_a
models/ADCIRC/manual-notes/15-mesh-tools-and-grid-editing.md,19,file,//adcirc.github.io/adcirc/user_guide/tips_and_tricks/grid_dev_edit.h,,,,ps://adcirc.github.io/adcirc/tools/oceanmesh2d.html ; https://adcirc.github.io/adcirc/user_guide/tips_and_tricks/grid_dev_edit.html
models/ADCIRC/manual-notes/15-mesh-tools-and-grid-editing.md,27,symbol,,,,SMS,- the docs explicitly surface `SMS` and `OceanMesh2D` as front-line meshing tools
models/ADCIRC/manual-notes/15-mesh-tools-and-grid-editing.md,27,symbol,,,,OceanMesh2D,- the docs explicitly surface `SMS` and `OceanMesh2D` as front-line meshing tools
models/ADCIRC/manual-notes/15-mesh-tools-and-grid-editing.md,28,symbol,,,,SMS,- `SMS` is a commercial Windows GUI environment popular with ADCIRC
models/ADCIRC/manual-notes/15-mesh-tools-and-grid-editing.md,29,symbol,,,,OceanMesh2D,- `OceanMesh2D` is an open MATLAB-based automated mesh generator
models/ADCIRC/manual-notes/15-mesh-tools-and-grid-editing.md,30,symbol,,,,OceanMesh2D,"- `OceanMesh2D` can also help with boundary conditions, bathymetry/topograp"
models/ADCIRC/manual-notes/15-mesh-tools-and-grid-editing.md,35,symbol,,,,SMS,- method details: justifies focusing first on `SMS` versus `OceanMesh2D`
models/ADCIRC/manual-notes/15-mesh-tools-and-grid-editing.md,35,symbol,,,,OceanMesh2D,- method details: justifies focusing first on `SMS` versus `OceanMesh2D`
models/ADCIRC/manual-notes/16-bathymetry-and-subgrid-paths.md,8,file,adcirc.github.io/adcirc.org/github.c,,,,"notes: ""P2 catalog audit 2026-05-24 — external URL catalog (adcirc.github.io/adcirc.org/github.com) verified via WebFetch sampling (03 theory + 06 parameter"
models/ADCIRC/manual-notes/16-bathymetry-and-subgrid-paths.md,19,file,//adcirc.github.io/adcirc/technical_reference/input_files/fort14.h,,,,- link: https://adcirc.github.io/adcirc/technical_reference/input_files/fort14.html ; https://adcirc.github.io/adcirc/technical_reference/in
models/ADCIRC/manual-notes/16-bathymetry-and-subgrid-paths.md,19,file,//adcirc.github.io/adcirc/technical_reference/input_files/time_varying_bathymetry.h,,,,/adcirc/technical_reference/input_files/fort14.html ; https://adcirc.github.io/adcirc/technical_reference/input_files/time_varying_bathymetry.html ; https://adc
models/ADCIRC/manual-notes/16-bathymetry-and-subgrid-paths.md,19,file,//adcirc.github.io/adcirc/tools/subgrid_adcirc_utility.h,,,,_reference/input_files/time_varying_bathymetry.html ; https://adcirc.github.io/adcirc/tools/subgrid_adcirc_utility.html ; https://adcirc.github.io/adcirc/tools/
models/ADCIRC/manual-notes/16-bathymetry-and-subgrid-paths.md,19,file,//adcirc.github.io/adcirc/tools/oceanmesh2d.h,,,,.github.io/adcirc/tools/subgrid_adcirc_utility.html ; https://adcirc.github.io/adcirc/tools/oceanmesh2d.html
models/ADCIRC/manual-notes/16-bathymetry-and-subgrid-paths.md,28,symbol,,,,NDDT,RC supports time-varying bathymetry through `fort.141` when `NDDT` is nonzero
models/ADCIRC/manual-notes/16-bathymetry-and-subgrid-paths.md,29,symbol,,,,OceanMesh2D,- `OceanMesh2D` provides bathymetry/topography interpolation and DEM suppor
models/ADCIRC/manual-notes/16-bathymetry-and-subgrid-paths.md,30,symbol,,,,SubgridADCIRCUtility,- `SubgridADCIRCUtility` supports high-resolution terrain representation without req
models/ADCIRC/manual-notes/17-boundary-and-forcing-inputs.md,8,file,adcirc.github.io/adcirc.org/github.c,,,,"notes: ""P2 catalog audit 2026-05-24 — external URL catalog (adcirc.github.io/adcirc.org/github.com) verified via WebFetch sampling (03 theory + 06 parameter"
models/ADCIRC/manual-notes/17-boundary-and-forcing-inputs.md,19,file,//adcirc.github.io/adcirc/user_guide/model_configuration/boundary_conditions/boundary_conditions.h,,,,- link: https://adcirc.github.io/adcirc/user_guide/model_configuration/boundary_conditions/boundary_conditions.html ; https://adcirc.github.io/adcirc/technical_
models/ADCIRC/manual-notes/17-boundary-and-forcing-inputs.md,19,file,//adcirc.github.io/adcirc/technical_reference/input_files/meteorological_forcing_overview.h,,,,ration/boundary_conditions/boundary_conditions.html ; https://adcirc.github.io/adcirc/technical_reference/input_files/meteorological_forcing_overview.html ; htt
models/ADCIRC/manual-notes/17-boundary-and-forcing-inputs.md,19,file,//adcirc.github.io/adcirc/user_guide/model_configuration/meteorological_forcing/nws_parameters.h,,,,ce/input_files/meteorological_forcing_overview.html ; https://adcirc.github.io/adcirc/user_guide/model_configuration/meteorological_forcing/nws_parameters.html 
models/ADCIRC/manual-notes/17-boundary-and-forcing-inputs.md,19,file,//adcirc.github.io/adcirc/user_guide/model_configuration/meteorological_forcing/wtiminc.h,,,,guration/meteorological_forcing/nws_parameters.html ; https://adcirc.github.io/adcirc/user_guide/model_configuration/meteorological_forcing/wtiminc.html
models/ADCIRC/manual-notes/17-boundary-and-forcing-inputs.md,31,symbol,,,,NWS,"- meteorological forcing is selected through `NWS`, and the meaning of the meteorological parameter line chang"
models/ADCIRC/manual-notes/17-boundary-and-forcing-inputs.md,32,symbol,,,,WTIMINC,- `WTIMINC` is central for many gridded meteorological paths
models/ADCIRC/manual-notes/18-nws13-schema-and-local-jma-msm-branch.md,8,file,adcirc.github.io/adcirc.org/github.c,,,,"notes: ""P2 catalog audit 2026-05-24 — external URL catalog (adcirc.github.io/adcirc.org/github.com) verified via WebFetch sampling (03 theory + 06 parameter"
models/ADCIRC/manual-notes/18-nws13-schema-and-local-jma-msm-branch.md,19,file,//adcirc.github.io/adcirc/user_guide/model_configuration/meteorological_forcing/nws13.h,,,,- link: https://adcirc.github.io/adcirc/user_guide/model_configuration/meteorological_forcing/nws13.html ; https://adcirc.github.io/adcirc/technical_reference/i
models/ADCIRC/manual-notes/18-nws13-schema-and-local-jma-msm-branch.md,19,file,//adcirc.github.io/adcirc/technical_reference/input_files/fort22.h,,,,del_configuration/meteorological_forcing/nws13.html ; https://adcirc.github.io/adcirc/technical_reference/input_files/fort22.html
models/ADCIRC/manual-notes/18-nws13-schema-and-local-jma-msm-branch.md,28,symbol,,,,U10,"- the documented schema includes `U10`, `V10`, `PSFC`, `lat`, `lon`, and `time`"
models/ADCIRC/manual-notes/18-nws13-schema-and-local-jma-msm-branch.md,28,symbol,,,,V10,"- the documented schema includes `U10`, `V10`, `PSFC`, `lat`, `lon`, and `time`"
models/ADCIRC/manual-notes/18-nws13-schema-and-local-jma-msm-branch.md,28,symbol,,,,PSFC,"- the documented schema includes `U10`, `V10`, `PSFC`, `lat`, `lon`, and `time`"
models/ADCIRC/manual-notes/18-nws13-schema-and-local-jma-msm-branch.md,28,symbol,,,,lat,"- the documented schema includes `U10`, `V10`, `PSFC`, `lat`, `lon`, and `time`"
models/ADCIRC/manual-notes/18-nws13-schema-and-local-jma-msm-branch.md,28,symbol,,,,lon,"the documented schema includes `U10`, `V10`, `PSFC`, `lat`, `lon`, and `time`"
models/ADCIRC/manual-notes/18-nws13-schema-and-local-jma-msm-branch.md,28,symbol,,,,time,"ted schema includes `U10`, `V10`, `PSFC`, `lat`, `lon`, and `time`"
models/ADCIRC/manual-notes/27-github-oceanmesh2d-repo-review.md,8,file,adcirc.github.io/adcirc.org/github.c,,,,"notes: ""P2 catalog audit 2026-05-24 — external URL catalog (adcirc.github.io/adcirc.org/github.com) verified via WebFetch sampling (03 theory + 06 parameter"
models/ADCIRC/manual-notes/27-github-oceanmesh2d-repo-review.md,15,file,//github.c,,,,- https://github.com/CHLNDDEV/OceanMesh2D
models/ADCIRC/manual-notes/27-github-oceanmesh2d-repo-review.md,21,symbol,,,,Projection,- recommended branch is `Projection`
models/ADCIRC/manual-notes/27-github-oceanmesh2d-repo-review.md,24,symbol,,,,m_map,"- setup downloads `m_map`, `GSHHG`, and `SRTM15_PLUS`"
models/ADCIRC/manual-notes/27-github-oceanmesh2d-repo-review.md,24,symbol,,,,GSHHG,"- setup downloads `m_map`, `GSHHG`, and `SRTM15_PLUS`"
models/ADCIRC/manual-notes/27-github-oceanmesh2d-repo-review.md,24,symbol,,,,SRTM15_PLUS,"- setup downloads `m_map`, `GSHHG`, and `SRTM15_PLUS`"
models/ADCIRC/manual-notes/27-github-oceanmesh2d-repo-review.md,30,symbol,,,,geodata,- `geodata`
models/ADCIRC/manual-notes/27-github-oceanmesh2d-repo-review.md,31,symbol,,,,edgefx,- `edgefx`
models/ADCIRC/manual-notes/27-github-oceanmesh2d-repo-review.md,32,symbol,,,,meshgen,- `meshgen`
models/ADCIRC/manual-notes/27-github-oceanmesh2d-repo-review.md,33,symbol,,,,msh,- `msh`
models/ADCIRC/manual-notes/28-github-oceanmesh-python-repo-review.md,8,file,adcirc.github.io/adcirc.org/github.c,,,,"notes: ""P2 catalog audit 2026-05-24 — external URL catalog (adcirc.github.io/adcirc.org/github.com) verified via WebFetch sampling (03 theory + 06 parameter"
models/ADCIRC/manual-notes/28-github-oceanmesh-python-repo-review.md,15,file,//github.c,,,,- https://github.com/CHLNDDEV/oceanmesh
models/ADCIRC/manual-notes/28-github-oceanmesh-python-repo-review.md,22,symbol,,,,Region,"- key interface objects and functions include `Region`, `Shoreline`, `DEM`, `signed_distance_function`, sizing fun"
models/ADCIRC/manual-notes/28-github-oceanmesh-python-repo-review.md,22,symbol,,,,Shoreline,"- key interface objects and functions include `Region`, `Shoreline`, `DEM`, `signed_distance_function`, sizing functions, and `"
models/ADCIRC/manual-notes/28-github-oceanmesh-python-repo-review.md,22,symbol,,,,DEM,"erface objects and functions include `Region`, `Shoreline`, `DEM`, `signed_distance_function`, sizing functions, and `generat"
models/ADCIRC/manual-notes/28-github-oceanmesh-python-repo-review.md,22,symbol,,,,signed_distance_function,"objects and functions include `Region`, `Shoreline`, `DEM`, `signed_distance_function`, sizing functions, and `generate_mesh`"
models/ADCIRC/manual-notes/28-github-oceanmesh-python-repo-review.md,22,symbol,,,,generate_mesh,"`, `DEM`, `signed_distance_function`, sizing functions, and `generate_mesh`"
models/ADCIRC/manual-notes/28-github-oceanmesh-python-repo-review.md,24,symbol,,,,CGAL,- installation requires `CGAL`
models/ADCIRC/manual-notes/28-github-oceanmesh-python-repo-review.md,29,symbol,,,,OceanMesh2D,This is the closest visible Python-side relative of `OceanMesh2D`.
models/ADCIRC/manual-notes/28-github-oceanmesh-python-repo-review.md,32,symbol,,,,OceanMesh2D,- preserve the `OceanMesh2D` way of thinking
models/ADCIRC/manual-notes/28-github-oceanmesh-python-repo-review.md,38,symbol,,,,OceanMesh2D,- closest conceptual match to `OceanMesh2D`
models/ADCIRC/manual-notes/28-github-oceanmesh-python-repo-review.md,43,symbol,,,,CGAL,- Windows setup burden is non-trivial because of `CGAL`
models/ADCIRC/manual-notes/28-github-oceanmesh-python-repo-review.md,49,symbol,,,,OceanMesh2D,date for a Python translation track that stays close to the `OceanMesh2D` worldview
models/ADCIRC/manual-notes/29-github-ocsmesh-repo-review.md,8,file,adcirc.github.io/adcirc.org/github.c,,,,"notes: ""P2 catalog audit 2026-05-24 — external URL catalog (adcirc.github.io/adcirc.org/github.com) verified via WebFetch sampling (03 theory + 06 parameter"
models/ADCIRC/manual-notes/29-github-ocsmesh-repo-review.md,15,file,//github.c,,,,- https://github.com/noaa-ocs-modeling/OCSMesh
models/ADCIRC/manual-notes/29-github-ocsmesh-repo-review.md,20,symbol,,,,OCSMesh,- `OCSMesh` is a Python package for processing DEM data into georeferen
models/ADCIRC/manual-notes/29-github-ocsmesh-repo-review.md,21,symbol,,,,Triangle,- it uses different meshing engines such as `Triangle` or `Gmsh`
models/ADCIRC/manual-notes/29-github-ocsmesh-repo-review.md,21,symbol,,,,Gmsh,- it uses different meshing engines such as `Triangle` or `Gmsh`
models/ADCIRC/manual-notes/29-github-ocsmesh-repo-review.md,23,symbol,,,,CMake,"- installation requires Python `3.10+`, `CMake`, and C/C++ compilers"
models/ADCIRC/manual-notes/29-github-ocsmesh-repo-review.md,24,symbol,,,,ocsmesh,"- repo structure includes docs, tutorials, tests, and the `ocsmesh` package itself"
models/ADCIRC/manual-notes/29-github-ocsmesh-repo-review.md,28,symbol,,,,ocsmesh_test,The local `ocsmesh_test` scripts already use:
models/ADCIRC/manual-notes/29-github-ocsmesh-repo-review.md,29,symbol,,,,Raster,- `Raster`
models/ADCIRC/manual-notes/29-github-ocsmesh-repo-review.md,30,symbol,,,,Geom,- `Geom`
models/ADCIRC/manual-notes/29-github-ocsmesh-repo-review.md,31,symbol,,,,Hfun,- `Hfun`
models/ADCIRC/manual-notes/29-github-ocsmesh-repo-review.md,32,symbol,,,,MeshDriver,- `MeshDriver`
models/ADCIRC/manual-notes/29-github-ocsmesh-repo-review.md,34,symbol,,,,OCSMesh,That means `OCSMesh` is not hypothetical here.
models/ADCIRC/manual-notes/29-github-ocsmesh-repo-review.md,44,symbol,,,,OceanMesh2D,- not a direct `OceanMesh2D` port
models/ADCIRC/manual-notes/29-github-ocsmesh-repo-review.md,50,symbol,,,,oceanmesh,- weaker than `oceanmesh` for direct conceptual translation of `make_mesh_om2d.m`
models/ADCIRC/source-analysis/adcirc-3d-mode.md,16,file,couple2baroclinic3D.F,,,,ADCIRC's two distinct 3D paths: (1) `couple2baroclinic3D.F` which **imports external 3D fields** as a 2D-DDI baroclini
models/ADCIRC/source-analysis/adcirc-3d-mode.md,20,file-line,read_input.F,1176,1191,,"- `read_input.F:1176-1191, 3072, 5139-5482, 5682` — `IM, IDEN, IGC/NFEN, EQNSTATE`, 3"
models/ADCIRC/source-analysis/adcirc-3d-mode.md,21,file-line,adcirc.F,316,319,,"- `adcirc.F:316-319, 348` — top-level dispatch, baroclinic init."
models/ADCIRC/source-analysis/adcirc-3d-mode.md,22,file-line,couple2baroclinic3D.F,39,787,,- `couple2baroclinic3D.F:39-787` — external-coupling module.
models/ADCIRC/source-analysis/adcirc-3d-mode.md,23,file-line,cstart.F,348,,,- `cstart.F:348` — `Initial_BC3D_NetCDF` call.
models/ADCIRC/source-analysis/adcirc-3d-mode.md,23,symbol,,,,Initial_BC3D_NetCDF,- `cstart.F:348` — `Initial_BC3D_NetCDF` call.
models/ADCIRC/source-analysis/adcirc-3d-mode.md,24,file-line,timestep.F,1121,,,"- `timestep.F:1121, 1125, 1918, 2150-2355` — VSSOL call, BPG3D, dispersion."
models/ADCIRC/source-analysis/adcirc-3d-mode.md,25,file-line,gwce.F,780,1450,,- `gwce.F:780-1450` — GWCE 3D additions.
models/ADCIRC/source-analysis/adcirc-3d-mode.md,26,file-line,vsmy.F,1168,,,"- `vsmy.F:1168, 1543-3871, 4061-4315` — internal solve, EOS, MY2.5."
models/ADCIRC/source-analysis/adcirc-3d-mode.md,27,file-line,global_3dvs.F,94,,,"- `global_3dvs.F:94, 193, 568` — symbols, FEGRIDS."
models/ADCIRC/source-analysis/adcirc-3d-mode.md,28,file-line,write_output.F,2993,3331,,- `write_output.F:2993-3331` — 3D output dispatch.
models/ADCIRC/source-analysis/adcirc-3d-mode.md,36,file-line,couple2baroclinic3D.F,39,787,," terms into 2D ADCIRC. **Not a 3D solver inside ADCIRC.** (`couple2baroclinic3D.F:39-787`, `cstart.F:348`) |"
models/ADCIRC/source-analysis/adcirc-3d-mode.md,36,file-line,cstart.F,348,,,"D solver inside ADCIRC.** (`couple2baroclinic3D.F:39-787`, `cstart.F:348`) |"
models/ADCIRC/source-analysis/adcirc-3d-mode.md,37,file-line,read_input.F,1176,1191,," transport, baroclinic pressure (BPG3D), MY2.5 turbulence (`read_input.F:1176-1191`) |"
models/ADCIRC/source-analysis/adcirc-3d-mode.md,44,file-line,read_input.F,5139,,,- `NFEN` = number of vertical finite-element nodes (`read_input.F:5139`).
models/ADCIRC/source-analysis/adcirc-3d-mode.md,44,symbol,,,,NFEN,- `NFEN` = number of vertical finite-element nodes (`read_input.F:51
models/ADCIRC/source-analysis/adcirc-3d-mode.md,48,file-line,global_3dvs.F,568,,,`FEGRIDS` supports (`global_3dvs.F:568`):
models/ADCIRC/source-analysis/adcirc-3d-mode.md,48,symbol,,,,FEGRIDS,`FEGRIDS` supports (`global_3dvs.F:568`):
models/ADCIRC/source-analysis/adcirc-3d-mode.md,56,file-line,global_3dvs.F,193,,,"Coordinate constants: `A=1`, `B=-1`, `AMB=A-B` (`global_3dvs.F:193`)."
models/ADCIRC/source-analysis/adcirc-3d-mode.md,60,file-line,vsmy.F,1548,1553,,"Salinity/temperature transport when `C3D_BTrans=.TRUE.` (`vsmy.F:1548-1553` 은 **dispatch만** — 실제 solver 는 `transport.F`/`TRANS_3D`, [["
models/ADCIRC/source-analysis/adcirc-3d-mode.md,60,file,transport.F,,,,"=.TRUE.` (`vsmy.F:1548-1553` 은 **dispatch만** — 실제 solver 는 `transport.F`/`TRANS_3D`, [[adcirc-transport-solver]] 참조):"
models/ADCIRC/source-analysis/adcirc-3d-mode.md,60,symbol,,,,TRANS_3D,"my.F:1548-1553` 은 **dispatch만** — 실제 solver 는 `transport.F`/`TRANS_3D`, [[adcirc-transport-solver]] 참조):"
models/ADCIRC/source-analysis/adcirc-3d-mode.md,62,symbol,,,,IDEN,| `IDEN` | Transports |
models/ADCIRC/source-analysis/adcirc-3d-mode.md,68,file-line,vsmy.F,1630,,,"After transport, `CALC_SIGMAT_3D()` for `IDEN > 1` (`vsmy.F:1630`)."
models/ADCIRC/source-analysis/adcirc-3d-mode.md,70,file-line,read_input.F,5682,,,`Eqnstate` from input (`read_input.F:5682`):
models/ADCIRC/source-analysis/adcirc-3d-mode.md,70,symbol,,,,Eqnstate,`Eqnstate` from input (`read_input.F:5682`):
