model,repository,local_branch,pinned_commit_sha,pinned_date,shallow,origin_url,upstream_branch,upstream_head_sha,upstream_head_date,latest_release_or_tag(+date),status,evidence
Delft3D,Delft3D,main,513eccdbe249919b3e5e62063dc91eb9fdf2347f,2026-05-01T10:51:13+02:00,true,https://github.com/Deltares/Delft3D.git,main,231bbf266cbb2d6de83a0b63ec8fdbf151a72382,2026-09-18T11:18:26Z,release DIMRset_2026.02 (2026-04-28),BEHIND,"path=models/Delft3D/raw/source_code/Delft3D; git -c safe.directory='*' -C <path>: symbolic-ref --quiet --short HEAD; rev-parse --verify HEAD; show -s --format=%cI HEAD; rev-parse --is-shallow-repository; config --get remote.origin.url; local tracking config: branch.main.remote=origin, branch.main.merge=refs/heads/main (local configuration only; remote not verified); HEAD rechecked unchanged; all remote fields UNKNOWN (reason: network blocked); shared probe: git -c safe.directory='*' ls-remote --symref https://github.com/ccht-ncsu/FigureGen.git HEAD => exit 128, Could not resolve host: github.com; no further remote requests per stop condition | remote 2026-09-19T13:11:14Z: git ls-remote --symref <origin> HEAD refs/heads/main rc=0; gh compare pinned...head status=ahead ahead_by=1771 behind_by=0; gh api repos/Deltares/Delft3D/commits/<head>, releases/latest"
Delft3D,hydromt_delft3dfm,main,1f3dead6972eeb65dae2a136dd9e2330555f450f,2026-04-29T16:36:48+02:00,true,https://github.com/Deltares/hydromt_delft3dfm.git,main,ffa9cfea7628e3efe69522178b5843300d3b2448,2026-09-18T11:50:55Z,release v0.3.0 (2024-10-18),BEHIND,"path=models/Delft3D/raw/source_code/hydromt_delft3dfm; git -c safe.directory='*' -C <path>: symbolic-ref --quiet --short HEAD; rev-parse --verify HEAD; show -s --format=%cI HEAD; rev-parse --is-shallow-repository; config --get remote.origin.url; local tracking config: branch.main.remote=origin, branch.main.merge=refs/heads/main (local configuration only; remote not verified); HEAD rechecked unchanged; all remote fields UNKNOWN (reason: network blocked); shared probe: git -c safe.directory='*' ls-remote --symref https://github.com/ccht-ncsu/FigureGen.git HEAD => exit 128, Could not resolve host: github.com; no further remote requests per stop condition | remote 2026-09-19T13:11:14Z: git ls-remote --symref <origin> HEAD refs/heads/main rc=0; gh compare pinned...head status=ahead ahead_by=29 behind_by=0; gh api repos/Deltares/hydromt_delft3dfm/commits/<head>, releases/latest"
EFDC,EFDC-GVC,main,68dc93fa04c48a785bbe3136e1784ceca2a7a20f,2021-11-10T11:25:05-08:00,true,https://github.com/dsi-llc/EFDC-GVC.git,main,68dc93fa04c48a785bbe3136e1784ceca2a7a20f,2021-11-10T19:25:05Z,no release/tag,CURRENT,"path=models/EFDC/raw/source_code/EFDC-GVC; git -c safe.directory='*' -C <path>: symbolic-ref --quiet --short HEAD; rev-parse --verify HEAD; show -s --format=%cI HEAD; rev-parse --is-shallow-repository; config --get remote.origin.url; local tracking config: branch.main.remote=origin, branch.main.merge=refs/heads/main (local configuration only; remote not verified); HEAD rechecked unchanged; all remote fields UNKNOWN (reason: network blocked); shared probe: git -c safe.directory='*' ls-remote --symref https://github.com/ccht-ncsu/FigureGen.git HEAD => exit 128, Could not resolve host: github.com; no further remote requests per stop condition | remote 2026-09-19T13:11:14Z: git ls-remote --symref <origin> HEAD refs/heads/main rc=0; gh api repos/dsi-llc/EFDC-GVC/commits/<head>, releases/latest"
EFDC,EFDCPlus_Stable,main,3ed76b6eb1263921ba99bf23b66bb85c1a5feac1,2026-04-02T09:30:44-07:00,true,https://github.com/dsi-llc/EFDCPlus_Stable.git,main,3b382fd0b5222a8ed0bac6d2cfc9a7877062db27,2026-08-24T18:00:54Z,release v12.4 (2026-04-01),BEHIND,"path=models/EFDC/raw/source_code/EFDCPlus_Stable; git -c safe.directory='*' -C <path>: symbolic-ref --quiet --short HEAD; rev-parse --verify HEAD; show -s --format=%cI HEAD; rev-parse --is-shallow-repository; config --get remote.origin.url; local tracking config: branch.main.remote=origin, branch.main.merge=refs/heads/main (local configuration only; remote not verified); HEAD rechecked unchanged; all remote fields UNKNOWN (reason: network blocked); shared probe: git -c safe.directory='*' ls-remote --symref https://github.com/ccht-ncsu/FigureGen.git HEAD => exit 128, Could not resolve host: github.com; no further remote requests per stop condition | remote 2026-09-19T13:11:14Z: git ls-remote --symref <origin> HEAD refs/heads/main rc=0; gh compare pinned...head status=ahead ahead_by=1 behind_by=0; gh api repos/dsi-llc/EFDCPlus_Stable/commits/<head>, releases/latest"
FUNWAVE,FUNWAVE-GPU,master,7f892bad51c1fecdcc8c45ab6694b997684ac143,2019-11-26T09:04:05-05:00,true,https://github.com/dryuanye/FUNWAVE-GPU,master,7f892bad51c1fecdcc8c45ab6694b997684ac143,2019-11-26T14:04:05Z,release v1.0 (2020-02-29),CURRENT,"path=models/FUNWAVE/raw/source_code/FUNWAVE-GPU; git -c safe.directory='*' -C <path>: symbolic-ref --quiet --short HEAD; rev-parse --verify HEAD; show -s --format=%cI HEAD; rev-parse --is-shallow-repository; config --get remote.origin.url; local tracking config: branch.master.remote=origin, branch.master.merge=refs/heads/master (local configuration only; remote not verified); HEAD rechecked unchanged; all remote fields UNKNOWN (reason: network blocked); shared probe: git -c safe.directory='*' ls-remote --symref https://github.com/ccht-ncsu/FigureGen.git HEAD => exit 128, Could not resolve host: github.com; no further remote requests per stop condition | remote 2026-09-19T13:11:14Z: git ls-remote --symref <origin> HEAD refs/heads/master rc=0; gh api repos/dryuanye/FUNWAVE-GPU/commits/<head>, releases/latest"
FUNWAVE,FUNWAVE-TVD,master,b4c322e7582035ee19df8e6409a3dfedaff1cb96,2025-01-24T10:02:43-05:00,true,https://github.com/fengyanshi/FUNWAVE-TVD,master,b4c322e7582035ee19df8e6409a3dfedaff1cb96,2025-01-24T15:02:43Z,release Version_3.6 (2021-06-28),CURRENT,"path=models/FUNWAVE/raw/source_code/FUNWAVE-TVD; git -c safe.directory='*' -C <path>: symbolic-ref --quiet --short HEAD; rev-parse --verify HEAD; show -s --format=%cI HEAD; rev-parse --is-shallow-repository; config --get remote.origin.url; local tracking config: branch.master.remote=origin, branch.master.merge=refs/heads/master (local configuration only; remote not verified); HEAD rechecked unchanged; all remote fields UNKNOWN (reason: network blocked); shared probe: git -c safe.directory='*' ls-remote --symref https://github.com/ccht-ncsu/FigureGen.git HEAD => exit 128, Could not resolve host: github.com; no further remote requests per stop condition | remote 2026-09-19T13:11:14Z: git ls-remote --symref <origin> HEAD refs/heads/master rc=0; gh api repos/fengyanshi/FUNWAVE-TVD/commits/<head>, releases/latest"
LISFLOOD-FP,LISFLOOD-FP,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"path=models/LISFLOOD-FP/raw/source_code/LISFLOOD-FP; Python pathlib .git existence check and os.walk metadata discovery: no .git; local branch/SHA/committer date/shallow/origin UNKNOWN (reason: no Git metadata; parent wiki repository not used); all remote fields UNKNOWN (reason: network blocked); shared probe: git -c safe.directory='*' ls-remote --symref https://github.com/ccht-ncsu/FigureGen.git HEAD => exit 128, Could not resolve host: github.com; no further remote requests per stop condition | remote 2026-09-19T13:11:14Z: no local git repo (no .git) — not queried"
ROMS,WRF,Coupling,ee6e88c9e0507e8d88e35187a618f617a885ca39,2024-04-12T13:22:09-04:00,true,https://github.com/myroms/WRF.git,Coupling,ee6e88c9e0507e8d88e35187a618f617a885ca39,2024-04-12T17:22:09Z,no GitHub release; highest tag (version sort) v4.5.1,CURRENT,"path=models/ROMS/raw/source_code/WRF; git -c safe.directory='*' -C <path>: symbolic-ref --quiet --short HEAD; rev-parse --verify HEAD; show -s --format=%cI HEAD; rev-parse --is-shallow-repository; config --get remote.origin.url; local tracking config: branch.Coupling.remote=origin, branch.Coupling.merge=refs/heads/Coupling (local configuration only; remote not verified); HEAD rechecked unchanged; all remote fields UNKNOWN (reason: network blocked); shared probe: git -c safe.directory='*' ls-remote --symref https://github.com/ccht-ncsu/FigureGen.git HEAD => exit 128, Could not resolve host: github.com; no further remote requests per stop condition | remote 2026-09-19T13:11:14Z: git ls-remote --symref <origin> HEAD refs/heads/Coupling rc=0; gh api repos/myroms/WRF/commits/<head>, releases/latest"
ROMS,roms,develop,32c79b7435ee0a1a2cdd78fee07264e3bd93bb98,2026-04-25T16:40:18-04:00,true,https://github.com/myroms/roms.git,develop,57aecf589a408b1e5490d2db7f9bd0196062a44e,2026-09-18T19:31:42Z,release roms-4.2 (2024-12-27),BEHIND,"path=models/ROMS/raw/source_code/roms; git -c safe.directory='*' -C <path>: symbolic-ref --quiet --short HEAD; rev-parse --verify HEAD; show -s --format=%cI HEAD; rev-parse --is-shallow-repository; config --get remote.origin.url; local tracking config: branch.develop.remote=origin, branch.develop.merge=refs/heads/develop (local configuration only; remote not verified); HEAD rechecked unchanged; all remote fields UNKNOWN (reason: network blocked); shared probe: git -c safe.directory='*' ls-remote --symref https://github.com/ccht-ncsu/FigureGen.git HEAD => exit 128, Could not resolve host: github.com; no further remote requests per stop condition | remote 2026-09-19T13:11:14Z: git ls-remote --symref <origin> HEAD refs/heads/develop rc=0; gh compare pinned...head status=ahead ahead_by=6 behind_by=0; gh api repos/myroms/roms/commits/<head>, releases/latest"
ROMS,roms-jedi,develop,8b0d52b39fce8677a03c8265e409045cc34a7ff0,2026-02-05T15:52:58-05:00,true,https://github.com/myroms/roms-jedi.git,develop,8929e9ee5b3dd5d9ec43a2486b153ffa88424793,2026-09-01T14:56:34Z,no release/tag,BEHIND,"path=models/ROMS/raw/source_code/roms-jedi; git -c safe.directory='*' -C <path>: symbolic-ref --quiet --short HEAD; rev-parse --verify HEAD; show -s --format=%cI HEAD; rev-parse --is-shallow-repository; config --get remote.origin.url; local tracking config: branch.develop.remote=origin, branch.develop.merge=refs/heads/develop (local configuration only; remote not verified); HEAD rechecked unchanged; all remote fields UNKNOWN (reason: network blocked); shared probe: git -c safe.directory='*' ls-remote --symref https://github.com/ccht-ncsu/FigureGen.git HEAD => exit 128, Could not resolve host: github.com; no further remote requests per stop condition | remote 2026-09-19T13:11:14Z: git ls-remote --symref <origin> HEAD refs/heads/develop rc=0; gh compare pinned...head status=ahead ahead_by=6 behind_by=0; gh api repos/myroms/roms-jedi/commits/<head>, releases/latest"
ROMS,roms_eccofs,develop,0259dbb7b37b152b22a96728d3f854369f04dd23,2026-03-19T14:00:49-04:00,true,https://github.com/myroms/roms_eccofs.git,develop,f7cf349aade608884bfd0ce6ef0588d89c21f1a7,2026-06-25T19:11:35Z,no release/tag,BEHIND,"path=models/ROMS/raw/source_code/roms_eccofs; git -c safe.directory='*' -C <path>: symbolic-ref --quiet --short HEAD; rev-parse --verify HEAD; show -s --format=%cI HEAD; rev-parse --is-shallow-repository; config --get remote.origin.url; local tracking config: branch.develop.remote=origin, branch.develop.merge=refs/heads/develop (local configuration only; remote not verified); HEAD rechecked unchanged; all remote fields UNKNOWN (reason: network blocked); shared probe: git -c safe.directory='*' ls-remote --symref https://github.com/ccht-ncsu/FigureGen.git HEAD => exit 128, Could not resolve host: github.com; no further remote requests per stop condition | remote 2026-09-19T13:11:14Z: git ls-remote --symref <origin> HEAD refs/heads/develop rc=0; gh compare pinned...head status=ahead ahead_by=1 behind_by=0; gh api repos/myroms/roms_eccofs/commits/<head>, releases/latest"
ROMS,roms_libs,main,3b40351dfdb84d3e4a213dd31179cffe4a73cbdc,2024-12-27T20:56:46-05:00,true,https://github.com/myroms/roms_libs.git,main,3b40351dfdb84d3e4a213dd31179cffe4a73cbdc,2024-12-28T01:56:46Z,no release/tag,CURRENT,"path=models/ROMS/raw/source_code/roms_libs; git -c safe.directory='*' -C <path>: symbolic-ref --quiet --short HEAD; rev-parse --verify HEAD; show -s --format=%cI HEAD; rev-parse --is-shallow-repository; config --get remote.origin.url; local tracking config: branch.main.remote=origin, branch.main.merge=refs/heads/main (local configuration only; remote not verified); HEAD rechecked unchanged; all remote fields UNKNOWN (reason: network blocked); shared probe: git -c safe.directory='*' ls-remote --symref https://github.com/ccht-ncsu/FigureGen.git HEAD => exit 128, Could not resolve host: github.com; no further remote requests per stop condition | remote 2026-09-19T13:11:14Z: git ls-remote --symref <origin> HEAD refs/heads/main rc=0; gh api repos/myroms/roms_libs/commits/<head>, releases/latest"
ROMS,roms_matlab,main,58c108c013b082fefd10807c02027cdb7bd2b63d,2025-09-16T15:51:35-04:00,true,https://github.com/myroms/roms_matlab.git,main,8126e07d3834102fb4ddd308ec1742de71b80635,2026-06-19T15:57:43Z,no release/tag,BEHIND,"path=models/ROMS/raw/source_code/roms_matlab; git -c safe.directory='*' -C <path>: symbolic-ref --quiet --short HEAD; rev-parse --verify HEAD; show -s --format=%cI HEAD; rev-parse --is-shallow-repository; config --get remote.origin.url; local tracking config: branch.main.remote=origin, branch.main.merge=refs/heads/main (local configuration only; remote not verified); HEAD rechecked unchanged; all remote fields UNKNOWN (reason: network blocked); shared probe: git -c safe.directory='*' ls-remote --symref https://github.com/ccht-ncsu/FigureGen.git HEAD => exit 128, Could not resolve host: github.com; no further remote requests per stop condition | remote 2026-09-19T13:11:14Z: git ls-remote --symref <origin> HEAD refs/heads/main rc=0; gh compare pinned...head status=ahead ahead_by=1 behind_by=0; gh api repos/myroms/roms_matlab/commits/<head>, releases/latest"
ROMS,roms_test,main,91433821654e5b80015c33f2e46761676ac19c50,2026-03-23T11:14:12-04:00,true,https://github.com/myroms/roms_test.git,main,91e045c76c0328aa8402d39a79783ec68e9983ed,2026-09-02T16:48:57Z,no release/tag,BEHIND,"path=models/ROMS/raw/source_code/roms_test; git -c safe.directory='*' -C <path>: symbolic-ref --quiet --short HEAD; rev-parse --verify HEAD; show -s --format=%cI HEAD; rev-parse --is-shallow-repository; config --get remote.origin.url; local tracking config: branch.main.remote=origin, branch.main.merge=refs/heads/main (local configuration only; remote not verified); HEAD rechecked unchanged; all remote fields UNKNOWN (reason: network blocked); shared probe: git -c safe.directory='*' ls-remote --symref https://github.com/ccht-ncsu/FigureGen.git HEAD => exit 128, Could not resolve host: github.com; no further remote requests per stop condition | remote 2026-09-19T13:11:14Z: git ls-remote --symref <origin> HEAD refs/heads/main rc=0; gh compare pinned...head status=ahead ahead_by=6 behind_by=0; gh api repos/myroms/roms_test/commits/<head>, releases/latest"
SFINCS,sfincs,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"path=models/SFINCS/raw/source_code/sfincs; Python pathlib .git existence check and os.walk metadata discovery: no .git; local branch/SHA/committer date/shallow/origin UNKNOWN (reason: no Git metadata; parent wiki repository not used); all remote fields UNKNOWN (reason: network blocked); shared probe: git -c safe.directory='*' ls-remote --symref https://github.com/ccht-ncsu/FigureGen.git HEAD => exit 128, Could not resolve host: github.com; no further remote requests per stop condition | remote 2026-09-19T13:11:14Z: no local git repo (no .git) — not queried"
SWAN,swan,main,55441526ec4330338f05d148759fc66f6fc7fb9d,2026-03-16T07:45:31+01:00,true,https://gitlab.tudelft.nl/citg/wavemodels/swan.git,main,43e9bbba393f2cf9eaff78bc92eaed118a3a5c8e,2026-07-13T16:16:07.000+02:00,no release/tag,BEHIND,"path=models/SWAN/raw/source_code/swan; git -c safe.directory='*' -C <path>: symbolic-ref --quiet --short HEAD; rev-parse --verify HEAD; show -s --format=%cI HEAD; rev-parse --is-shallow-repository; config --get remote.origin.url; local tracking config: branch.main.remote=origin, branch.main.merge=refs/heads/main (local configuration only; remote not verified); HEAD rechecked unchanged; all remote fields UNKNOWN (reason: network blocked); shared probe: git -c safe.directory='*' ls-remote --symref https://github.com/ccht-ncsu/FigureGen.git HEAD => exit 128, Could not resolve host: github.com; no further remote requests per stop condition | remote 2026-09-19T13:11:14Z: git ls-remote --symref <origin> HEAD refs/heads/main rc=0; gitlab merge_base=55441526ec43; gitlab api gitlab.tudelft.nl commits/<head>, merge_base, releases, tags"
SWASH,swash,main,a486d5f9ae56edf579ea95d1dbbaf84b91e73a89,2026-05-26T12:20:32+02:00,true,https://gitlab.tudelft.nl/citg/wavemodels/swash.git,main,a486d5f9ae56edf579ea95d1dbbaf84b91e73a89,2026-05-26T12:20:32.000+02:00,no release/tag,CURRENT,"path=models/SWASH/raw/source_code/swash; git -c safe.directory='*' -C <path>: symbolic-ref --quiet --short HEAD; rev-parse --verify HEAD; show -s --format=%cI HEAD; rev-parse --is-shallow-repository; config --get remote.origin.url; local tracking config: branch.main.remote=origin, branch.main.merge=refs/heads/main (local configuration only; remote not verified); HEAD rechecked unchanged; all remote fields UNKNOWN (reason: network blocked); shared probe: git -c safe.directory='*' ls-remote --symref https://github.com/ccht-ncsu/FigureGen.git HEAD => exit 128, Could not resolve host: github.com; no further remote requests per stop condition | remote 2026-09-19T13:11:14Z: git ls-remote --symref <origin> HEAD refs/heads/main rc=0; gitlab api gitlab.tudelft.nl commits/<head>, merge_base, releases, tags"
