note,note_line,ref,source,old,new,status,basis
models/Celeris/source-analysis/celeris-pipeline-graph.md,30,js/main.js:1546,js/main.js,1546,2228,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,39,js/main.js:1927,js/main.js,1927,2672,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,40,js/main.js:1893,js/main.js,1893,2638,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,41,js/main.js:1896,js/main.js,1896,2641,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,42,js/main.js:1900,js/main.js,1900,2645,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,43,js/main.js:1904,js/main.js,1904,2649,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,44,js/main.js:1908,js/main.js,1908,2653,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,45,js/main.js:1909,js/main.js,1909,2654,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,46,js/main.js:1913,js/main.js,1913,2658,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,47,js/main.js:1917–1918,js/main.js,1917-1918,2662-2663,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,48,js/main.js:1919–1924,js/main.js,1919-1924,2664-2669,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,49,js/main.js:1934,js/main.js,1934,2679,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,51,js/main.js:1940,js/main.js,1940,2685,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,52,js/main.js:1944,js/main.js,1944,2689,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,53,js/main.js:1949,js/main.js,1949,2694,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,54,js/main.js:1951,js/main.js,1951,2696,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,55,js/main.js:1959,js/main.js,1959,2704,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,56,js/main.js:1963,js/main.js,1963,2708,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,57,js/main.js:1972,js/main.js,1972,2717,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,60,js/main.js:1984,js/main.js,1984,2729,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,61,js/main.js:1987,js/main.js,1987,2732,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,62,js/main.js:1990–1991,js/main.js,1990-1991,2735-2736,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,63,js/main.js:1996–2000,js/main.js,1996-2000,2741-2745,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,64,js/main.js:2010,js/main.js,2010,2755,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,67,js/main.js:2000,js/main.js,2000,2745,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,67,js/main.js:1959,js/main.js,1959,2704,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,69,js/main.js:2122–2178,js/main.js,2122-2178,2867-2928,MOVED,"내부 변경, Phase 1 판정 완료"
models/Celeris/source-analysis/celeris-pipeline-graph.md,73,js/main.js:2134–2142,js/main.js,2134-2142,2879-2887,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,75,js/main.js:2146–2147,js/main.js,2146-2147,2896-2897,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,77,js/main.js:2150–2151,js/main.js,2150-2151,2900-2901,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,78,js/main.js:2155–2157,js/main.js,2155-2157,2905-2907,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,80,js/main.js:2163,js/main.js,2163,2913,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,81,js/main.js:2165–2170,js/main.js,2165-2170,2915-2920,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,82,js/main.js:2174–2175,js/main.js,2174-2175,2924-2925,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,83,js/main.js:2178,js/main.js,2178,2928,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,96,js/main.js:1322–1334,js/main.js,1322-1334,1539-1551,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,98,js/main.js:1937,js/main.js,1937,2682,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,99,js/main.js:1340,js/main.js,1340,1565,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,100,js/main.js:1345,js/main.js,1345,1570,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,103,js/main.js:1933–1938,js/main.js,1933-1938,2678-2683,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,103,js/main.js:1339–1346,js/main.js,1339-1346,1564-1571,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,104,js/main.js:1916–1925,js/main.js,1916-1925,2661-2670,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,113,js/main.js:1634,js/main.js,1634,2353,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,115,js/main.js:2012,js/main.js,2012,2757,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,118,js/main.js:2012,js/main.js,2012,2757,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,119,js/main.js:2021,js/main.js,2021,2766,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,120,js/main.js:2027–2044,js/main.js,2027-2044,2772-2789,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,121,js/main.js:2050–2058,js/main.js,2050-2058,2795-2803,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,122,js/main.js:2067,js/main.js,2067,2812,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,123,js/main.js:2075,js/main.js,2075,2820,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,124,js/main.js:2079–2081,js/main.js,2079-2081,2824-2826,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,125,js/main.js:2089,js/main.js,2089,2834,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,126,js/main.js:2102,js/main.js,2102,2847,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,127,js/main.js:2113–2116,js/main.js,2113-2116,2858-2861,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,130,js/main.js:2012,js/main.js,2012,2757,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,136,js/main.js:1940,js/main.js,1940,2685,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,137,js/main.js:1990–1991,js/main.js,1990-1991,2735-2736,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,138,js/main.js:2146–2147,js/main.js,2146-2147,2896-2897,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,139,js/main.js:2150–2151,js/main.js,2150-2151,2900-2901,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,140,js/main.js:2155–2157,js/main.js,2155-2157,2905-2907,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,173,constants_load_calc.js:427–428,js/constants_load_calc.js,427-428,511-512,MOVED,
models/Celeris/source-analysis/celeris-render.md,18,"js/display_parameters.js:63,103",js/display_parameters.js,"63,103","63,103",IDENTICAL,
models/Celeris/source-analysis/celeris-render.md,94,js/display_parameters.js:24-105,js/display_parameters.js,24-105,24-105,IDENTICAL,
models/Celeris/source-analysis/celeris-sediment.md,17,constants_load_calc.js:85,js/constants_load_calc.js,85,106,MOVED,
models/Celeris/source-analysis/celeris-sediment.md,29,js/main.js:1898-1901,js/main.js,1898-1901,2643-2646,MOVED,
models/Celeris/source-analysis/celeris-sediment.md,29,js/main.js:2032-2035,js/main.js,2032-2035,2777-2780,MOVED,
models/Celeris/source-analysis/celeris-sediment.md,29,"js/main.js:847,1627",js/main.js,"847,1627","1025,2346",MOVED,
models/Celeris/source-analysis/celeris-sediment.md,30,js/main.js:1943-1946,js/main.js,1943-1946,2688-2691,MOVED,
models/Celeris/source-analysis/celeris-sediment.md,30,js/main.js:1953-1955,js/main.js,1953-1955,2698-2700,MOVED,
models/Celeris/source-analysis/celeris-sediment.md,31,js/main.js:2133-2143,js/main.js,2133-2143,2878-2888,MOVED,
models/Celeris/source-analysis/celeris-sediment.md,62,constants_load_calc.js:510,js/constants_load_calc.js,510,618,MOVED,
models/Celeris/source-analysis/celeris-sediment.md,70,constants_load_calc.js:508,js/constants_load_calc.js,508,616,MOVED,
models/Celeris/source-analysis/celeris-sediment.md,81,constants_load_calc.js:512,js/constants_load_calc.js,512,620,MOVED,
models/Celeris/source-analysis/celeris-sediment.md,89,constants_load_calc.js:514-522,js/constants_load_calc.js,514-522,622-630,MOVED,
models/Celeris/source-analysis/celeris-sediment.md,104,constants_load_calc.js:91-92,js/constants_load_calc.js,91-92,112-113,MOVED,
models/Celeris/source-analysis/celeris-sediment.md,118,js/main.js:2135-2136,js/main.js,2135-2136,2880-2881,MOVED,
models/Celeris/source-analysis/celeris-sediment.md,124,js/main.js:2137-2138,js/main.js,2137-2138,2882-2883,MOVED,
models/Celeris/source-analysis/celeris-sediment.md,125,js/main.js:2139-2142,js/main.js,2139-2142,2884-2887,MOVED,
models/Celeris/source-analysis/celeris-sediment.md,133,js/main.js:1348,js/main.js,1348,1573,MOVED,
models/Celeris/source-analysis/celeris-sediment.md,134,js/main.js:1349,js/main.js,1349,1574,MOVED,
models/Celeris/source-analysis/celeris-sediment.md,135,js/main.js:1361,js/main.js,1361,1586,MOVED,
models/Celeris/source-analysis/celeris-sediment.md,164,"js/constants_load_calc.js:85-92,508-522",js/constants_load_calc.js,"85-92,508-522","106-113,616-630",MOVED,
models/Celeris/source-analysis/celeris-sediment.md,165,"js/main.js:1898-1901,1943-1946,2133-2143",js/main.js,"1898-1901,1943-1946,2133-2143","2643-2646,2688-2691,2878-2888",MOVED,
models/Celeris/source-analysis/celeris-sediment.md,166,js/main.js:1348-1361,js/main.js,1348-1361,1573-1586,MOVED,
models/Celeris/source-analysis/celeris-source-map.md,19,js/main.js:1320-1368,js/main.js,1320-1368,1537-1593,MOVED,"내부 변경, Phase 1 판정 완료"
models/Celeris/source-analysis/celeris-source-map.md,27,main.js:1893-2174,js/main.js,1893-2174,2638-2924,MOVED,"내부 변경, Phase 1 판정 완료"
models/Celeris/source-analysis/celeris-source-map.md,41,main.js:1331,js/main.js,1331,1548,MOVED,
models/Celeris/source-analysis/celeris-source-map.md,57,main.js:1614,js/main.js,1614,1614,REANCHOR_REQUIRED,"의미 수정과 함께 좌표 확정 (C1-8, 조건 분기로 단일행 매핑 불가)"
models/Celeris/source-analysis/celeris-source-map.md,145,main.js:1392-1422,js/main.js,1392-1422,1619-1651,MOVED,"내부 변경, Phase 1 판정 완료"
models/Celeris/source-analysis/celeris-source-map.md,145,main.js:1893-2174,js/main.js,1893-2174,2638-2924,MOVED,"내부 변경, Phase 1 판정 완료"
models/Celeris/source-analysis/celeris-source-map.md,179,js/main.js:341-426,js/main.js,341-426,449-536,MOVED,"내부 변경, Phase 1 판정 완료"
models/Celeris/source-analysis/celeris-source-map.md,183,main.js:343-344,js/main.js,343-344,451-452,MOVED,
models/Celeris/source-analysis/celeris-source-map.md,184,main.js:347-348,js/main.js,347-348,455-456,MOVED,
models/Celeris/source-analysis/celeris-source-map.md,185,main.js:341,js/main.js,341,449,MOVED,
models/Celeris/source-analysis/celeris-source-map.md,186,main.js:342,js/main.js,342,450,MOVED,
models/Celeris/source-analysis/celeris-source-map.md,187,main.js:349-353,js/main.js,349-353,457-461,MOVED,
models/Celeris/source-analysis/celeris-source-map.md,188,main.js:352,js/main.js,352,460,MOVED,
models/Celeris/source-analysis/celeris-source-map.md,189,main.js:365-366,js/main.js,365-366,473-474,MOVED,
models/Celeris/source-analysis/celeris-source-map.md,190,main.js:369,js/main.js,369,477,MOVED,
models/Celeris/source-analysis/celeris-source-map.md,191,main.js:393-394,js/main.js,393-394,501-502,MOVED,
models/Celeris/source-analysis/celeris-source-map.md,192,main.js:395-396,js/main.js,395-396,503-504,MOVED,
models/Celeris/source-analysis/celeris-source-map.md,193,main.js:405,js/main.js,405,515,MOVED,
models/Celeris/source-analysis/celeris-webgpu-infrastructure.md,31,js/main.js:191-195,js/main.js,191-195,225-229,MOVED,
models/Celeris/source-analysis/celeris-webgpu-infrastructure.md,37,js/main.js:341-456,js/main.js,341-456,449-576,MOVED,"내부 변경, Phase 1 판정 완료"
models/Celeris/source-analysis/celeris-webgpu-infrastructure.md,62,"js/Copy_Data_to_Textures.js:44-47, 56",js/Copy_Data_to_Textures.js,"44-47,56","44-47,56",IDENTICAL,
models/Celeris/source-analysis/celeris-webgpu-infrastructure.md,95,js/main.js:2146-2147,js/main.js,2146-2147,2896-2897,MOVED,
models/Celeris/source-analysis/celeris-webgpu-infrastructure.md,154,js/main.js:1098,js/main.js,1098,1297,MOVED,
models/Celeris/source-analysis/celeris-webgpu-infrastructure.md,226,"js/main.js:2123-2124, 2165-2170",js/main.js,"2123-2124,2165-2170","2868-2869,2915-2920",MOVED,
models/Celeris/source-analysis/celeris-webgpu-infrastructure.md,232,js/main.js:1111,js/main.js,1111,1310,MOVED,
models/Celeris/source-analysis/celeris-webgpu-infrastructure.md,235,js/main.js:2652,js/main.js,2652,3515,MOVED,
models/Celeris/source-analysis/celeris-webgpu-infrastructure.md,238,js/Time_Series.js:58-115,js/Time_Series.js,58-115,60-128,REANCHORED,실행 코드 정박 확인 — 2줄 위 주석화된 옛 signature 회피
models/Celeris/source-analysis/celeris-webgpu-infrastructure.md,238,js/main.js:4367,js/main.js,4367,5488,MOVED,
models/Celeris/source-analysis/celeris-webgpu-infrastructure.md,243,js/main.js:2184,js/main.js,2184,2980,MOVED,
models/Celeris/web-refs/celeris-coulwave-theory.md,5,constants_load_calc.js:32-34,js/constants_load_calc.js,32-34,36-38,MOVED,
models/Celeris/web-refs/celeris-coulwave-theory.md,20,js/constants_load_calc.js:32,js/constants_load_calc.js,32,36,MOVED,
models/Celeris/web-refs/celeris-coulwave-theory.md,47,constants_load_calc.js:33,js/constants_load_calc.js,33,37,MOVED,
