note,model,ref,kind,max_line,cls
models/ADCIRC/source-analysis/adcirc-parallel-implementation.md,ADCIRC,partmesh.txt,file,,RUNTIME_OR_INPUT
models/ADCIRC/source-analysis/adcirc-parallel-implementation.md,ADCIRC,partmesh.txt,file,,RUNTIME_OR_INPUT
models/ADCIRC/source-analysis/adcirc_asgs_operational_system.md,ADCIRC,config.sh,file,,ABSENT_FROM_SNAPSHOT
models/ADCIRC/source-analysis/tide/adcirc-tide-harmonic-prep.md,ADCIRC,nao2xyap.f,file,,ABSENT_FROM_SNAPSHOT
models/ADCIRC/source-analysis/tide/adcirc-tide-harmonic-prep.md,ADCIRC,nao2xyap.f,file-line,167,ABSENT_FROM_SNAPSHOT
models/ADCIRC/source-analysis/tide/adcirc-tide-harmonic-prep.md,ADCIRC,naotidej.f,file-line,1117,ABSENT_FROM_SNAPSHOT
models/ADCIRC/source-analysis/tide/adcirc-tide-harmonic-prep.md,ADCIRC,naotidej.f,file-line,1117,ABSENT_FROM_SNAPSHOT
models/AUDIT-LEDGER.md,AUDIT-LEDGER.md,tools/count-notes.sh,file,,ABSENT_FROM_SNAPSHOT
models/CADMAS-SURF/manual-notes/cadmas-agent-manual.md,CADMAS-SURF,danger.txt,file,,RUNTIME_OR_INPUT
models/CADMAS-SURF/manual-notes/cadmas-agent-manual.md,CADMAS-SURF,NNN.txt,file,,RUNTIME_OR_INPUT
models/CADMAS-SURF/manual-notes/cadmas-agent-manual.md,CADMAS-SURF,debug.txt,file,,RUNTIME_OR_INPUT
models/CADMAS-SURF/source-analysis/cadmas-agent-evacuation-simulator.md,CADMAS-SURF,read_condition/agent/potential/move_boundary/shelter/signpost.f90,file,,ABSENT_FROM_SNAPSHOT
models/CADMAS-SURF/source-analysis/cadmas-agent-evacuation-simulator.md,CADMAS-SURF,allocate_cadmas/potential.f90,file,,ABSENT_FROM_SNAPSHOT
models/CADMAS-SURF/source-analysis/cadmas-agent-evacuation-simulator.md,CADMAS-SURF,debug.txt,file,,RUNTIME_OR_INPUT
models/CADMAS-SURF/source-analysis/cadmas-surf3d-wave-generation-and-boundaries.md,CADMAS-SURF,cwmak1.f,file-line,18,ABSENT_FROM_SNAPSHOT
models/CADMAS-SURF/source-analysis/cadmas-surf3d-wave-generation-and-boundaries.md,CADMAS-SURF,cwmak2.f,file-line,20,ABSENT_FROM_SNAPSHOT
models/CADMAS-SURF/source-analysis/cadmas-surf3d-wave-generation-and-boundaries.md,CADMAS-SURF,vf_bwuwn3.f,file,,ABSENT_FROM_SNAPSHOT
models/CADMAS-SURF/source-analysis/str3d-linear-solvers.md,CADMAS-SURF,cg3ml2/ml3.f,file,,ABSENT_FROM_SNAPSHOT
models/CADMAS-SURF/source-analysis/str3d-stier-parallel-mesh-io.md,CADMAS-SURF,gmtxhx2/pn2/te1/te2.f,file,,ABSENT_FROM_SNAPSHOT
models/CADMAS-SURF/source-analysis/str3d-stier-parallel-mesh-io.md,CADMAS-SURF,_s.f,file,,GLOB_PATTERN
models/CADMAS-SURF/source-analysis/str3d-stier-parallel-mesh-io.md,CADMAS-SURF,gnpfhx2/pn2/te1/te2.f,file,,ABSENT_FROM_SNAPSHOT
models/CADMAS-SURF/source-analysis/str3d-stier-parallel-mesh-io.md,CADMAS-SURF,velhx2/pn2/te1/te2.f,file,,ABSENT_FROM_SNAPSHOT
models/Celeris/manual-notes/celeris-architecture-and-config.md,Celeris,Pass3A/3B/3_COULWAVE.wgsl,file,,ABSENT_FROM_SNAPSHOT
models/Celeris/manual-notes/celeris-architecture-and-config.md,Celeris,TriDiag_PCRx/y_COULWAVE.wgsl,file,,ABSENT_FROM_SNAPSHOT
models/Celeris/source-analysis/celeris-coulwave.md,Celeris,TriDiag_PCRx/y_COULWAVE.wgsl,file,,ABSENT_FROM_SNAPSHOT
models/Celeris/source-analysis/celeris-pipeline-graph.md,Celeris,TriDiag_PCRx/y.wgsl,file,,ABSENT_FROM_SNAPSHOT
models/Celeris/source-analysis/celeris-pipeline-graph.md,Celeris,TriDiag_PCRx/y_COULWAVE.wgsl,file,,ABSENT_FROM_SNAPSHOT
models/Celeris/source-analysis/celeris-source-map.md,Celeris,Pass3A/B_COULWAVE.wgsl,file,,ABSENT_FROM_SNAPSHOT
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,Delft3D,unstruc_netcdf_map_class.f90,file,,ABSENT_FROM_SNAPSHOT
models/Delft3D/source-analysis/delft3d_dflowfm_grid_utils.md,Delft3D,statisticsini/newstep/onemorepoint/finalise.f90,file,,ABSENT_FROM_SNAPSHOT
models/Delft3D/source-analysis/delft3d_dflowfm_transport_sediment.md,Delft3D,compute_transport/doforester.f90,file,,ABSENT_FROM_SNAPSHOT
models/Delft3D/source-analysis/delft3d_dflowfm_waves.md,Delft3D,params.txt,file,,RUNTIME_OR_INPUT
models/Delft3D/source-analysis/delft3d_difu_transport.md,Delft3D,thahbc.for,file,,ABSENT_FROM_SNAPSHOT
models/Delft3D/source-analysis/delft3d_flow2d3d_special_physics.md,Delft3D,momcor.f90,file,,ABSENT_FROM_SNAPSHOT
models/Delft3D/source-analysis/delft3d_forfil_forester_filter.md,Delft3D,doforester.f90,file,,ABSENT_FROM_SNAPSHOT
models/Delft3D/source-analysis/delft3d_waq_sediment_oxygen_demand.md,Delft3D,sodcard.for,file,,ABSENT_FROM_SNAPSHOT
models/Delft3D/source-analysis/delft3d_waq_sediment_oxygen_demand.md,Delft3D,sodcard.for,file,,ABSENT_FROM_SNAPSHOT
models/Delft3D/source-analysis/wave/delft3d_flow_wave_coupling.md,Delft3D,getdata.pl,file,,ABSENT_FROM_SNAPSHOT
models/EFDC/README.md,EFDC,textbook/sources.yml,file,,WIKI_PATH
models/EFDC/README.md,EFDC,../../textbook/sources.yml,file,,WIKI_PATH
models/EFDC/manual-notes/efdc-implementation-guide.md,EFDC,temp.rst,file,,ABSENT_FROM_SNAPSHOT
models/EFDC/manual-notes/efdc-implementation-guide.md,EFDC,getefdc.f90,file,,ABSENT_FROM_SNAPSHOT
models/EFDC/manual-notes/efdc-manuals-overview.md,EFDC,textbook/sources.yml,file,,WIKI_PATH
models/EFDC/manual-notes/efdc-sediment-theory-2003.md,EFDC,textbook/sources.yml,file,,WIKI_PATH
models/EFDC/source-analysis/efdc-tidal-forcing-conventions-v12.md,EFDC,core/tidal/unified_tidal_extractor.py,file,,ABSENT_FROM_SNAPSHOT
models/EFDC/source-analysis/efdc-tidal-forcing-conventions-v12.md,EFDC,tests/test_tidal_efdc_synthesis.py,file,,ABSENT_FROM_SNAPSHOT
models/EFDC/source-analysis/efdc_boundary_conditions.md,EFDC,Transport/calcser.f90,file,,ABSENT_FROM_SNAPSHOT
models/EFDC/source-analysis/efdc_boundary_conditions.md,EFDC,mod_chanbc.f90,file,,ABSENT_FROM_SNAPSHOT
models/EFDC/source-analysis/efdc_gvc_legacy.md,EFDC,gvc.for,file,,GLOB_PATTERN
models/EFDC/source-analysis/sediment/efdc_propwash.md,EFDC,Variables_Propwash.f90,file,,ABSENT_FROM_SNAPSHOT
models/EFDC/web-refs/efdc-official-resources.md,EFDC,textbook/sources.yml,file,,WIKI_PATH
models/FUNWAVE/README.md,FUNWAVE,_gpu.F,file,,GLOB_PATTERN
models/FUNWAVE/source-analysis/funwave-build-and-blackwell-port.md,FUNWAVE,compilers/src/cusparse.f90,file-line,7380,ABSENT_FROM_SNAPSHOT
models/FUNWAVE/source-analysis/funwave-code-graph.md,FUNWAVE,_gpu.F,file,,GLOB_PATTERN
models/FUNWAVE/source-analysis/funwave-code-graph.md,FUNWAVE,_gpu.F,file,,GLOB_PATTERN
models/FUNWAVE/source-analysis/funwave-gpu-cuda-port.md,FUNWAVE,GPULOG.txt,file,,RUNTIME_OR_INPUT
models/FUNWAVE/source-analysis/funwave-gpu-source.md,FUNWAVE,_gpu.F,file,,GLOB_PATTERN
models/FUNWAVE/source-analysis/funwave-source-map.md,FUNWAVE,fluxes_21v/33v.F,file,,ABSENT_FROM_SNAPSHOT
models/INDEX.md,INDEX.md,_staging/wiki-navigation-20260913/model-state-summary.json,file,,WIKI_PATH
models/INDEX.md,INDEX.md,../_staging/wiki-navigation-20260913/model-state-summary.json,file,,WIKI_PATH
models/LISFLOOD-FP/source-analysis/lisflood-fp-architecture-source-map.md,LISFLOOD-FP,_simulate.cuh,file,,GLOB_PATTERN
models/ROMS/manual-notes/roms-wiki-cppdefs-options.md,ROMS,my_app.h,file,,ABSENT_FROM_SNAPSHOT
models/ROMS/manual-notes/roms-wiki-getting-started.md,ROMS,sediment_cppdefs.h,file,,ABSENT_FROM_SNAPSHOT
models/ROMS/manual-notes/roms-wiki-getting-started.md,ROMS,sediment_cppdefs.h,file,,ABSENT_FROM_SNAPSHOT
models/ROMS/manual-notes/roms-wiki-overview.md,ROMS,manifest.json,file,,WIKI_PATH
models/ROMS/manual-notes/roms-wiki-overview.md,ROMS,manifest.json,file,,WIKI_PATH
models/ROMS/manual-notes/roms-wiki-overview.md,ROMS,sediment_cppdefs.h,file,,ABSENT_FROM_SNAPSHOT
models/ROMS/manual-notes/roms-wiki-overview.md,ROMS,sediment_cppdefs.h,file,,ABSENT_FROM_SNAPSHOT
models/ROMS/source-analysis/roms_4dvar.md,ROMS,i4dvar.in,file,,RUNTIME_OR_INPUT
models/ROMS/source-analysis/roms_4dvar.md,ROMS,multiscale_driver.h,file,,ABSENT_FROM_SNAPSHOT
models/ROMS/source-analysis/roms_4dvar.md,ROMS,multiscale_sum_B.h,file,,ABSENT_FROM_SNAPSHOT
models/ROMS/source-analysis/roms_4dvar.md,ROMS,w4dvar.F,file,,ABSENT_FROM_SNAPSHOT
models/ROMS/source-analysis/roms_4dvar_drivers.md,ROMS,_roms.h,file,,GLOB_PATTERN
models/ROMS/source-analysis/roms_4dvar_drivers.md,ROMS,_roms.h,file,,GLOB_PATTERN
models/ROMS/source-analysis/roms_4dvar_drivers.md,ROMS,i4dvar.F+i4dvar_roms.h,file,,ABSENT_FROM_SNAPSHOT
models/ROMS/source-analysis/roms_4dvar_drivers.md,ROMS,rbl4dvar.F+rbl4dvar_roms.h,file,,ABSENT_FROM_SNAPSHOT
models/ROMS/source-analysis/roms_4dvar_drivers.md,ROMS,r4dvar.F+r4dvar_roms.h,file,,ABSENT_FROM_SNAPSHOT
models/ROMS/source-analysis/roms_4dvar_drivers.md,ROMS,_roms.h,file,,GLOB_PATTERN
models/ROMS/source-analysis/roms_4dvar_drivers.md,ROMS,_analysis/forecast.h,file,,ABSENT_FROM_SNAPSHOT
models/ROMS/source-analysis/roms_advection.md,ROMS,u3dbc.F,file,,ABSENT_FROM_SNAPSHOT
models/ROMS/source-analysis/roms_advection.md,ROMS,t3dbc.F,file,,ABSENT_FROM_SNAPSHOT
models/ROMS/source-analysis/roms_advection.md,ROMS,t3drhs.F,file,,ABSENT_FROM_SNAPSHOT
models/ROMS/source-analysis/roms_advection.md,ROMS,u3drhs.F,file,,ABSENT_FROM_SNAPSHOT
models/ROMS/source-analysis/roms_advection.md,ROMS,_im.F,file,,ABSENT_FROM_SNAPSHOT
models/ROMS/source-analysis/roms_biology.md,ROMS,_mod.h,file,,ABSENT_FROM_SNAPSHOT
models/ROMS/source-analysis/roms_biology.md,ROMS,_inp.h,file,,ABSENT_FROM_SNAPSHOT
models/ROMS/source-analysis/roms_biology.md,ROMS,_var.h,file,,ABSENT_FROM_SNAPSHOT
models/ROMS/source-analysis/roms_biology.md,ROMS,_wrt.h,file,,ABSENT_FROM_SNAPSHOT
models/ROMS/source-analysis/roms_biology.md,ROMS,_def.h,file,,ABSENT_FROM_SNAPSHOT
models/ROMS/source-analysis/roms_biology.md,ROMS,Powell.h,file,,ABSENT_FROM_SNAPSHOT
models/ROMS/source-analysis/roms_biology.md,ROMS,iron.h,file,,ABSENT_FROM_SNAPSHOT
models/ROMS/source-analysis/roms_io_netcdf.md,ROMS,netcdf_create.F,file-line,9140,ABSENT_FROM_SNAPSHOT
models/ROMS/source-analysis/roms_kpp_boundary_layer.md,ROMS,lmd_wscale.F,file,,ABSENT_FROM_SNAPSHOT
models/ROMS/source-analysis/roms_kpp_boundary_layer.md,ROMS,lmd_wscale.F,file,,ABSENT_FROM_SNAPSHOT
models/ROMS/source-analysis/roms_nesting.md,ROMS,make_contact.m,file,,RUNTIME_OR_INPUT
models/ROMS/source-analysis/roms_nesting.md,ROMS,Contact.m,file,,RUNTIME_OR_INPUT
models/ROMS/source-analysis/roms_nesting.md,ROMS,contact.F,file,,ABSENT_FROM_SNAPSHOT
models/ROMS/source-analysis/roms_nesting.md,ROMS,nesting_get_data.F,file,,ABSENT_FROM_SNAPSHOT
models/ROMS/source-analysis/roms_nesting.md,ROMS,Contact.m,file,,RUNTIME_OR_INPUT
models/ROMS/source-analysis/roms_nesting.md,ROMS,Contact.m,file,,RUNTIME_OR_INPUT
models/ROMS/source-analysis/roms_nonlinear_physics_modules.md,ROMS,mb_bbl.F,file,,ABSENT_FROM_SNAPSHOT
models/ROMS/source-analysis/roms_nonlinear_physics_modules.md,ROMS,sw_bbl.F,file,,ABSENT_FROM_SNAPSHOT
models/ROMS/source-analysis/roms_nonlinear_vegetation.md,ROMS,Nonlinear/step2d_LF_AM3.F,file,,ABSENT_FROM_SNAPSHOT
models/ROMS/source-analysis/roms_representer_model.md,ROMS,_LF_AM3.h,file,,ABSENT_FROM_SNAPSHOT
models/ROMS/source-analysis/roms_representer_model.md,ROMS,_FB_LF_AM3.h,file,,ABSENT_FROM_SNAPSHOT
models/ROMS/source-analysis/roms_representer_model.md,ROMS,2dbc_im.F,file,,ABSENT_FROM_SNAPSHOT
models/ROMS/source-analysis/roms_representer_model.md,ROMS,3dbc_im.F,file,,ABSENT_FROM_SNAPSHOT
models/ROMS/source-analysis/roms_sea_ice.md,ROMS,ice_tibc/uibc/vibc.F,file,,ABSENT_FROM_SNAPSHOT
models/ROMS/source-analysis/roms_stability_gst.md,ROMS,_analysis.h,file,,ABSENT_FROM_SNAPSHOT
models/ROMS/source-analysis/roms_stability_gst.md,ROMS,_roms.h,file,,GLOB_PATTERN
models/ROMS/source-analysis/roms_support_modules.md,ROMS,exchange_2d/3d/4d.F,file,,ABSENT_FROM_SNAPSHOT
models/ROMS/source-analysis/roms_vertical_mixing.md,ROMS,lmd_wscale.F,file,,ABSENT_FROM_SNAPSHOT
models/ROMS/web-refs/roms-official-resources.md,ROMS,mono.h,file,,ABSENT_FROM_SNAPSHOT
models/SFINCS/manual-notes/sfincs-model-building-running.md,SFINCS,sfincs_log.txt,file,,RUNTIME_OR_INPUT
models/SFINCS/manual-notes/sfincs-model-building-running.md,SFINCS,sfincs_log.txt,file,,RUNTIME_OR_INPUT
models/SFINCS/manual-notes/sfincs-parameters-io-reference.md,SFINCS,sfincs.rst,file,,ABSENT_FROM_SNAPSHOT
models/SFINCS/source-analysis/sfincs_io_data.md,SFINCS,sfincs_subgrid.f90,file,,ABSENT_FROM_SNAPSHOT
models/SFINCS/source-analysis/sfincs_snapwave.md,SFINCS,waveparams.f90,file,,ABSENT_FROM_SNAPSHOT
models/SFINCS/source-analysis/sfincs_snapwave.md,SFINCS,RFveg.inc,file,,RUNTIME_OR_INPUT
models/SWAN/manual-notes/swan-implementation-manual.md,SWAN,SwanVTKWriteHeader/Data/PDataSets.ftn90,file,,ABSENT_FROM_SNAPSHOT
models/SWAN/manual-notes/swan-implementation-manual.md,SWAN,SwanGriddata/Gridobjects/Compdata.f90,file,,ABSENT_FROM_SNAPSHOT
models/SWAN/source-analysis/swan-adcirc-coupling.md,SWAN,couple2adcirc.F,file,,ABSENT_FROM_SNAPSHOT
models/SWAN/source-analysis/swan-adcirc-coupling.md,SWAN,couple2adcirc.F,file,,ABSENT_FROM_SNAPSHOT
models/SWAN/source-analysis/swan-whitecapping.md,SWAN,sources.f,file,,ABSENT_FROM_SNAPSHOT
models/SWASH/source-analysis/swash-boundary-spectral-transfer.md,SWASH,Data.ftn90,file-line,509,ABSENT_FROM_SNAPSHOT
models/SWASH/source-analysis/swash-explicit-depthavg-flow.md,SWASH,flow.ftn90,file,,ABSENT_FROM_SNAPSHOT
models/XBeach/README.md,XBeach,../../_staging/total-read/model-audit/XBeach/closure/attribution.json,file,,WIKI_PATH
models/XBeach/manual-notes/01-local-manual-stack.md,XBeach,params.txt,file,,OUTSIDE_SOURCE_CODE
models/XBeach/manual-notes/xbeach-manual-equation-code-contracts.md,XBeach,../../../_staging/total-read/model-audit/XBeach/connectivity/build-mode-20260912/contracts.json,file,,WIKI_PATH
models/XBeach/manual-notes/xbeach-manual-equation-code-contracts.md,XBeach,../../../_staging/total-read/model-audit/XBeach/connectivity/manuals-docx-read/glyph-record-read/receipt.json,file,,WIKI_PATH
models/XBeach/manual-notes/xbeach-manual-equation-code-contracts.md,XBeach,../../../_staging/total-read/model-audit/XBeach/connectivity/infiltration-document-code-comparison.json,file,,WIKI_PATH
models/XBeach/manual-notes/xbeach-manual-equation-code-contracts.md,XBeach,../../../_staging/total-read/model-audit/XBeach/connectivity/manuals-docx-read/conditional-visual-read/receipt.json,file,,WIKI_PATH
models/XBeach/manual-notes/xbeach-master-manual.md,XBeach,params.txt,file,,OUTSIDE_SOURCE_CODE
models/XBeach/manual-notes/xbeach-master-manual.md,XBeach,params.txt,file,,OUTSIDE_SOURCE_CODE
models/XBeach/manual-notes/xbeach-master-manual.md,XBeach,params.txt,file,,OUTSIDE_SOURCE_CODE
models/XBeach/manual-notes/xbeach-master-manual.md,XBeach,XBlog.txt,file,,OUTSIDE_SOURCE_CODE
models/XBeach/manual-notes/xbeach-master-manual.md,XBeach,params.txt,file,,OUTSIDE_SOURCE_CODE
models/XBeach/manual-notes/xbeach-nonhydrostatic-report-2010.md,XBeach,../../../_staging/total-read/model-audit/XBeach/connectivity/nonhydro-read/stress-tensor-symbol/receipt.json,file,,WIKI_PATH
models/XBeach/manual-notes/xbeach-nonhydrostatic-report-2010.md,XBeach,../../../_staging/total-read/model-audit/XBeach/connectivity/nonhydro-read/solitary-wave-symbols/receipt.json,file,,WIKI_PATH
models/XBeach/source-analysis/wave/xbeach-boundary-and-wave-setup.md,XBeach,jonswap.txt,file,,RUNTIME_OR_INPUT
models/XBeach/source-analysis/wave/xbeach-boundary-and-wave-setup.md,XBeach,jonstable.txt,file,,RUNTIME_OR_INPUT
models/XBeach/source-analysis/wave/xbeach-boundary-and-wave-setup.md,XBeach,swan_spectrum.txt,file,,RUNTIME_OR_INPUT
models/XBeach/source-analysis/wave/xbeach-boundary-and-wave-setup.md,XBeach,tide.txt,file,,RUNTIME_OR_INPUT
models/XBeach/source-analysis/wave/xbeach_wave_boundary.md,XBeach,../../../../_staging/total-read/model-audit/XBeach/connectivity/corrections-20260912/evidence.json,file,,WIKI_PATH
models/XBeach/source-analysis/wave/xbeach_wave_boundary.md,XBeach,params.txt,file,,OUTSIDE_SOURCE_CODE
models/XBeach/source-analysis/xbeach-audit-resolved-claims.md,XBeach,../../../_staging/total-read/model-audit/XBeach/closure/local-refutations/mpich-identity/identity-ledger.json,file,,WIKI_PATH
models/XBeach/source-analysis/xbeach-build-mode-connectivity.md,XBeach,../../../_staging/total-read/model-audit/XBeach/connectivity/build-mode-20260912/build-map.json,file,,WIKI_PATH
models/XBeach/source-analysis/xbeach-build-mode-connectivity.md,XBeach,../../../_staging/total-read/model-audit/XBeach/connectivity/build-mode-20260912/contracts.json,file,,WIKI_PATH
models/XBeach/source-analysis/xbeach-build-mode-connectivity.md,XBeach,../../../_staging/total-read/model-audit/XBeach/connectivity/build-mode-20260912/generation-probe.json,file,,WIKI_PATH
models/XBeach/source-analysis/xbeach-build-mode-connectivity.md,XBeach,RFveg.inc,file,,RUNTIME_OR_INPUT
models/XBeach/source-analysis/xbeach-build-mode-connectivity.md,XBeach,genmpi_coll.inc,file,,RUNTIME_OR_INPUT
models/XBeach/source-analysis/xbeach-build-mode-connectivity.md,XBeach,genmpi_distr.inc,file,,RUNTIME_OR_INPUT
models/XBeach/source-analysis/xbeach-build-mode-connectivity.md,XBeach,nh_pars.inc,file,,RUNTIME_OR_INPUT
models/XBeach/source-analysis/xbeach-build-mode-connectivity.md,XBeach,paramsdecl.inc,file,,RUNTIME_OR_INPUT
models/XBeach/source-analysis/xbeach-build-mode-connectivity.md,XBeach,space_alloc_arrays_dummies.inc,file,,RUNTIME_OR_INPUT
models/XBeach/source-analysis/xbeach-build-mode-connectivity.md,XBeach,xmpi_bcast.inc,file,,RUNTIME_OR_INPUT
models/XBeach/source-analysis/xbeach-build-mode-connectivity.md,XBeach,spacedecl.inc,file,,RUNTIME_OR_INPUT
models/XBeach/source-analysis/xbeach-coupled-physics-contracts.md,XBeach,../../../_staging/total-read/model-audit/XBeach/connectivity/physics/resolution-20260912/adjudication.json,file,,WIKI_PATH
models/XBeach/source-analysis/xbeach-coupled-physics-contracts.md,XBeach,../../../_staging/total-read/model-audit/XBeach/connectivity/physics/resolution-20260912/grain_assignment_probe.f90,file,,WIKI_PATH
models/XBeach/source-analysis/xbeach-coupled-physics-contracts.md,XBeach,../../../_staging/total-read/model-audit/XBeach/connectivity/runtime-20260912/evidence.json,file,,WIKI_PATH
models/XBeach/source-analysis/xbeach-lifecycle-state-contracts.md,XBeach,../../../_staging/total-read/model-audit/XBeach/connectivity/lifecycle/resolution-20260912/adjudication.json,file,,WIKI_PATH
models/XBeach/source-analysis/xbeach-lifecycle-state-contracts.md,XBeach,params.txt,file,,OUTSIDE_SOURCE_CODE
models/XBeach/source-analysis/xbeach-lifecycle-state-contracts.md,XBeach,../../../_staging/total-read/model-audit/XBeach/connectivity/lifecycle/resolution-20260912/probe-results.json,file,,WIKI_PATH
models/XBeach/source-analysis/xbeach-parameter-glossary-v1.md,XBeach,params.txt,file,,OUTSIDE_SOURCE_CODE
models/XBeach/source-analysis/xbeach-parameter-glossary-v1.md,XBeach,params.txt,file,,OUTSIDE_SOURCE_CODE
models/XBeach/source-analysis/xbeach-parameter-glossary-v1.md,XBeach,params.txt,file,,OUTSIDE_SOURCE_CODE
models/XBeach/source-analysis/xbeach-source-audit-supplements.md,XBeach,source-canonical/evidence-ledger.json,file,,WIKI_PATH
models/XBeach/source-analysis/xbeach-source-audit-supplements.md,XBeach,mapping-ledger.json,file,,WIKI_PATH
models/XBeach/source-analysis/xbeach_flow_solver.md,XBeach,../../../_staging/total-read/model-audit/XBeach/connectivity/runtime-20260912/evidence.json,file,,WIKI_PATH
models/XBeach/source-analysis/xbeach_infrastructure.md,XBeach,fftn.c,file,,ABSENT_FROM_SNAPSHOT
models/XBeach/source-analysis/xbeach_infrastructure.md,XBeach,params.txt,file,,OUTSIDE_SOURCE_CODE
models/XBeach/source-analysis/xbeach_intrawave_sediment_transport.md,XBeach,../../../_staging/total-read/model-audit/XBeach/connectivity/corrections-20260912/evidence.json,file,,WIKI_PATH
models/XBeach/source-analysis/xbeach_morphology.md,XBeach,../../../_staging/total-read/model-audit/XBeach/connectivity/corrections-20260912/evidence.json,file,,WIKI_PATH
models/XBeach/source-analysis/xbeach_nonh.md,XBeach,../../../_staging/total-read/model-audit/XBeach/connectivity/runtime-20260912/evidence.json,file,,WIKI_PATH
models/XBeach/source-analysis/xbeach_output.md,XBeach,../../../_staging/total-read/model-audit/XBeach/connectivity/runtime-20260912/evidence.json,file,,WIKI_PATH
models/XBeach/source-analysis/xbeach_output.md,XBeach,params.txt,file,,OUTSIDE_SOURCE_CODE
models/XBeach/source-analysis/xbeach_params.md,XBeach,params.txt,file,,OUTSIDE_SOURCE_CODE
models/XBeach/source-analysis/xbeach_q3d.md,XBeach,params.txt,file,,OUTSIDE_SOURCE_CODE
