relationship,path,counterpart,byte_identical,basis
generated-preprocessed-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/funwave-work/build/pre/bc.f90,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/bc.F,False,build/pre path plus same stem; hashes retained separately
separate-repository-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-GPU/src/mod_global.F,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/mod_global.F,False,same source filename in GPU and TVD commits; not collapsed
separate-repository-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-GPU/src/mod_input.F,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/mod_input.F,False,same source filename in GPU and TVD commits; not collapsed
separate-repository-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-GPU/src/mod_meteo.F,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/mod_meteo.F,False,same source filename in GPU and TVD commits; not collapsed
separate-repository-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-GPU/src/mod_parallel_field_io.F,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/mod_parallel_field_io.F,False,same source filename in GPU and TVD commits; not collapsed
separate-repository-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-GPU/src/mod_param.F,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/mod_param.F,False,same source filename in GPU and TVD commits; not collapsed
separate-repository-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-GPU/src/mod_sediment.F,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/mod_sediment.F,False,same source filename in GPU and TVD commits; not collapsed
separate-repository-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-GPU/src/mod_tracer.F,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/mod_tracer.F,False,same source filename in GPU and TVD commits; not collapsed
separate-repository-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-GPU/src/mod_vessel.F,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/mod_vessel.F,False,same source filename in GPU and TVD commits; not collapsed
separate-repository-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-GPU/src/nesting.F,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/nesting.F,False,same source filename in GPU and TVD commits; not collapsed
separate-repository-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-GPU/src/parallel.F,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/parallel.F,False,same source filename in GPU and TVD commits; not collapsed
separate-repository-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-GPU/src/samples.F,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/samples.F,False,same source filename in GPU and TVD commits; not collapsed
separate-repository-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-GPU/src/sources.F,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/sources.F,False,same source filename in GPU and TVD commits; not collapsed
separate-repository-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-GPU/src/sponge.F,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/sponge.F,False,same source filename in GPU and TVD commits; not collapsed
separate-repository-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-GPU/src/statistics.F,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/statistics.F,False,same source filename in GPU and TVD commits; not collapsed
separate-repository-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-GPU/src/tridiagnal.F,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/tridiagnal.F,True,same source filename in GPU and TVD commits; not collapsed
separate-repository-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-GPU/src/wavemaker.F,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/wavemaker.F,False,same source filename in GPU and TVD commits; not collapsed
